报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20241231,362012554000.0,362012554000.0,,,,,,303303899000.0,273518959000.0,,,,,,,,,2057466000.0,18606756000.0,3562797000.0,9689839000.0,-4131918000.0,3879076000.0,,3987823000.0,3743040000.0,-396983000.0,,,664223000.0,,,,9967630000.0,,,,19319000.0,64051799000.0,135422000.0,,1005182000.0,,63182039000.0,9175245000.0,,54006794000.0,54006794000.0,,50744682000.0,,3262113000.0,-1687613000.0,-1804283000.0,-2527245000.0,,93456000.0,-2620701000.0,,722962000.0,-235668000.0,,,157579000.0,,,-441101000.0,,1242151000.0,,116670000.0,52319181000.0,48940398000.0,3378782000.0,11.58,11.58,定期报告,是,20250315,CNY,合并期末,2025-03-14T20:17:02
20240930,259044748600.0,259044748600.0,,,,,,215471465100.0,186032900900.0,,,,,,,,,1557473800.0,13073136100.0,10927707300.0,6774455800.0,-2894208700.0,2966060400.0,,3127166700.0,2712745400.0,-299553500.0,,,190410200.0,,,,6730726300.0,,,,47590400.0,46125749700.0,142603700.0,,547867400.0,,45720486000.0,6987230700.0,,38733255300.0,38733255300.0,,36001073800.0,,2732181500.0,-568007300.0,-748963600.0,-1683403700.0,,80228300.0,-1763632000.0,,934440100.0,-79407800.0,,,183677300.0,,,462673500.0,,367497100.0,,180956300.0,38165248000.0,35252110200.0,2913137800.0,8.1894,8.1829,定期报告,未审计,20241019,CNY,合并期末,2024-10-18T19:52:03
20240630,166766833600.0,166766833600.0,,,,,,142296780300.0,122517848800.0,,,,,,,,,973678300.0,8592452400.0,7004983100.0,4391272500.0,-1183454700.0,2059047700.0,,2076994500.0,1916680600.0,-188439900.0,,,-24331900.0,,,,5364173600.0,,,,11045900.0,29554566300.0,85083600.0,,189697800.0,,29449952100.0,4571096800.0,,24878855300.0,24878855300.0,,22864987400.0,,2013867900.0,-1936799500.0,-2091667600.0,-1949074700.0,,101590300.0,-2050665100.0,,-142592900.0,-67437300.0,,,,,,-715333800.0,,515026600.0,,154868100.0,22942055800.0,20773319800.0,2168736000.0,5.2017,5.1975,定期报告,未审计,20240727,CNY,合并期末,2024-07-26T20:22:02
20240331,79770778600.0,79770778600.0,,,,,,69616456200.0,58698906300.0,,,,,,,,,574391200.0,4340204800.0,3386939900.0,2303072500.0,312941500.0,1048364500.0,,817635400.0,665871400.0,-68835300.0,,,-73450400.0,,,,3205824500.0,,,,3688400.0,13332747100.0,26663000.0,,159187800.0,,13200222200.0,2004579400.0,,11195642900.0,11195642900.0,,10509923200.0,,685719700.0,-229046000.0,-404478100.0,-987440700.0,,50342600.0,-1037783300.0,,582962600.0,-1597600.0,,,73302100.0,,,-370321400.0,,881579500.0,,175432100.0,10966596800.0,10105445100.0,861151800.0,2.3909,2.389,定期报告,未审计,20240416,CNY,合并期末,2024-04-15T20:07:36
20231231,400917045000.0,400917045000.0,,,,,,350610618000.0,323982130000.0,,,,,,,,,1695508000.0,18356108000.0,3042744000.0,8461824000.0,-4927697000.0,3446516000.0,,3189201000.0,3745762000.0,-636725000.0,,,46270000.0,,,,6267388000.0,,,,16984000.0,53718302000.0,503675000.0,,307924000.0,,53914053000.0,7153019000.0,,46761034000.0,46761034000.0,,44121248000.0,,2639786000.0,-4711859000.0,-4553144000.0,-1116764000.0,,-1687000.0,-1115077000.0,,-3436380000.0,526624000.0,,,-212739000.0,,,-3028698000.0,,-721567000.0,,-158715000.0,42049175000.0,39568104000.0,2481071000.0,10.06,10.05,定期报告,是,20250315,CNY,合并期末,2024-03-15T21:37:03
20230930,294677250600.0,294677250600.0,,,,,,261382893300.0,230096038100.0,,,,,,,,,1105082900.0,14875734500.0,10222106900.0,6917820800.0,-1833890000.0,2317681200.0,,2189770600.0,1307678000.0,-384360700.0,,,215302500.0,,,,4399537600.0,,,,13124200.0,37015470400.0,416987300.0,,266043400.0,,37166414400.0,4650152200.0,,32516262100.0,32516262100.0,,31145473600.0,,1370788600.0,-2958450600.0,-2990731800.0,-579473700.0,,57045200.0,-636518900.0,,-2411258000.0,727782000.0,,,-159457600.0,,,-3558162300.0,,578579900.0,,32281200.0,29557811600.0,28154741800.0,1403069700.0,7.0958,7.0844,定期报告,未审计,20241019,CNY,合并期末,2023-10-19T20:17:02
20230630,189246041300.0,189246041300.0,,,,,,166847523600.0,148305934100.0,,,,,,,,,638811900.0,9850086700.0,6699756700.0,4512280500.0,-3159346300.0,1450307700.0,,1417699300.0,568276700.0,-353895400.0,,,213283400.0,,,,3001582600.0,,,,8327400.0,25357423300.0,300135500.0,,188482100.0,,25469076700.0,3995875200.0,,21473201500.0,21473201500.0,,20717264500.0,,755937000.0,-1808645700.0,-1792058700.0,676431800.0,,6375700.0,670056000.0,,-2468490400.0,-100224300.0,,,-49644200.0,,,-2747614600.0,,428992600.0,,-16587000.0,19664555800.0,18925205800.0,739350000.0,4.7201,4.7125,定期报告,未审计,20240727,CNY,合并期末,2023-07-25T20:02:05
20230331,89038465300.0,89038465300.0,,,,,,79328835300.0,70101011700.0,,,,,,,,,274706600.0,4652229200.0,2916572500.0,1851067100.0,-466751900.0,694811000.0,,1527471300.0,587107500.0,-212324100.0,,,112896900.0,,,,1366836000.0,,,,15940700.0,12016687500.0,174634200.0,,179823800.0,,12011497900.0,1930890700.0,,10080607200.0,10080607200.0,,9822265100.0,,258342100.0,-2911771700.0,-2973150000.0,-2945694600.0,,26105800.0,-2971800400.0,,-27455400.0,-2071600.0,,,-2608400.0,,,85198100.0,,-107973500.0,,61378300.0,7168835500.0,6849115100.0,319720400.0,2.2407,2.2342,定期报告,未审计,20240416,CNY,合并期末,2024-04-15T18:57:02
20221231,328593987500.0,328593987500.0,,,,,,293745632000.0,262049609200.0,,,,,,,,,907484500.0,15510453500.0,11099401200.0,6978669400.0,-2799985800.0,2132375400.0,,2514538600.0,2614517000.0,-530396900.0,,,400241300.0,,,,3037344800.0,,,,-5322700.0,36821983100.0,159426800.0,,308553600.0,,36672856200.0,3215712700.0,,33457143500.0,33457143500.0,,30729163500.0,,2727980100.0,5046510500.0,4722980200.0,3340676900.0,,-63237900.0,3403914800.0,,1382303300.0,7040100.0,,,-27825600.0,,,257115700.0,,1145973100.0,,323530300.0,38503654000.0,35452143600.0,3051510400.0,7.1766,7.1553,定期报告,是,20240316,CNY,合并期末,2023-03-09T22:07:07
20220930,210340240500.0,210340240500.0,,,,,,191278983000.0,170480855400.0,,,,,,,,,568940800.0,10576516000.0,7023199800.0,4471553700.0,-1842082800.0,1613622800.0,,2744662400.0,2996607600.0,-363651900.0,,,262789100.0,,,,1816752000.0,,,,-1143400.0,22458644500.0,115030000.0,,246559100.0,,22327115300.0,2694951500.0,,19632163800.0,19632163800.0,,17591591700.0,,2040572100.0,3855361800.0,3617051700.0,2926257300.0,,1756600.0,2924500700.0,,690794400.0,7453800.0,,,-22370300.0,,,-697463200.0,,1403174100.0,,238310100.0,23487525600.0,21208643400.0,2278882300.0,4.1502,4.1287,定期报告,未审计,20231020,CNY,合并期末,2022-10-21T20:37:06
