报告日,资产,现金及存放中央银行款项,其中:现金,存放中央银行款,结算准备金,贵金属,存放同业款项,专项央行票据,央行专项扶持资金,存出保证金
20240930,,442888000000.0,,,,9336000000.0,99250000000.0,,,
20240630,,414271000000.0,,,,10925000000.0,110451000000.0,,,
20240331,,314502000000.0,,,,5777000000.0,117360000000.0,,,
20231231,,537131000000.0,,,,17526000000.0,105753000000.0,,,
20230930,,347126000000.0,,,,16918000000.0,103452000000.0,,,
20230630,,411019000000.0,,,,834000000.0,147145000000.0,,,
20230331,,414352000000.0,,,,1585000000.0,151804000000.0,,,
20221231,,457089000000.0,,,,3948000000.0,168169000000.0,,,
20220930,,376546000000.0,,,,2683000000.0,110590000000.0,,,
20220630,,439360000000.0,,,,4193000000.0,129598000000.0,,,
20220331,,374682000000.0,,,,20538000000.0,208281000000.0,,,
20211231,,420996000000.0,,,,13151000000.0,125836000000.0,,,
20210930,,391436000000.0,,,,10018000000.0,140588000000.0,,,
20210630,,414587000000.0,,414587000000.0,,6208000000.0,170565000000.0,,,
20210331,,440796000000.0,,,,56257000000.0,168069000000.0,,,
20201231,,489088000000.0,,,,44969000000.0,151796000000.0,,,
20200930,,416931000000.0,,,,32718000000.0,136540000000.0,,,
20200630,,464450000000.0,,,,26398000000.0,130511000000.0,,,
20200331,,386203000000.0,,,,41558000000.0,104320000000.0,,,
20191231,,477853000000.0,,,,30870000000.0,103755000000.0,,,
20190930,,424888000000.0,,,,32004000000.0,98326000000.0,,,
20190630,,395053000000.0,,,,24182000000.0,101496000000.0,,,
20190331,,388589000000.0,,,,15026000000.0,105532000000.0,,,
20181231,,443723000000.0,,,,10475000000.0,94284000000.0,,,
20180930,,438348000000.0,,,,8303000000.0,116570000000.0,,,
20180630,,428359000000.0,,,,8023000000.0,77012000000.0,,,
20180331,,467266000000.0,,,,6817000000.0,105770000000.0,,,
20171231,,486531000000.0,,,,10261000000.0,96348000000.0,,,
20170930,,463572000000.0,,,,7336000000.0,116999000000.0,,,
20170630,,501390000000.0,,,,7094000000.0,126380000000.0,,,
20170331,,457304000000.0,,,,9617000000.0,160304000000.0,,,
20161231,,517230000000.0,,,,9548000000.0,234223000000.0,,,
20160930,,464525000000.0,,,,11414000000.0,135901000000.0,,,
20160630,,490935000000.0,,,,15781000000.0,122001000000.0,,,
20160331,,450048000000.0,,,,21135000000.0,133134000000.0,,,
20151231,,481157000000.0,,,,28724000000.0,111388000000.0,,,
20150930,,492380000000.0,,,,37160000000.0,135134000000.0,,,
20150630,,505979000000.0,,,,40086000000.0,147359000000.0,,,
20150331,,491813000000.0,,,,32245000000.0,119365000000.0,,,
20141231,,506067000000.0,,,,11707000000.0,142287000000.0,,,
20140930,,489574000000.0,,,,2926000000.0,141211000000.0,,,
20140630,,507149000000.0,,,,5049000000.0,131033000000.0,,,
