报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额
20240930,,,,137963000000.0,,,,52313000000.0,46819000000.0,
20240630,,,,,,,17514000000.0,23764000000.0,44926000000.0,
20240331,,,,,,,,18225000000.0,41756000000.0,
20231231,,,69274000000.0,376776000000.0,,,19449000000.0,,,169458000000.0
20230930,,,40281000000.0,241571000000.0,,,24126000000.0,,,73938000000.0
20230630,,,35502000000.0,185841000000.0,,,6459000000.0,,,22942000000.0
20230331,,,31945000000.0,155969000000.0,,,,2998000000.0,,
20221231,,,,269218000000.0,,,,73436000000.0,,175885000000.0
20220930,,,,,,,1038000000.0,84818000000.0,,60300000000.0
20220630,,,,58931000000.0,,,,69993000000.0,,100042000000.0
20220331,,,,,,,,65091000000.0,,75170000000.0
20211231,,,,68864000000.0,,,4645000000.0,86000000.0,,
20210930,,,,59433000000.0,,,14780000000.0,,,
20210630,,,,163361000000.0,,,,,,
20210331,,,,64544000000.0,,,,,23038000000.0,
20201231,,,40593000000.0,630325000000.0,,,21233000000.0,20274000000.0,,4810000000.0
20200930,,,9295000000.0,550405000000.0,,,54116000000.0,12406000000.0,,5870000000.0
20200630,,,8546000000.0,332785000000.0,,,20194000000.0,3279000000.0,,13016000000.0
20200331,,,42363000000.0,95734000000.0,,,40123000000.0,23305000000.0,,
20191231,,,12949000000.0,335540000000.0,,,6577000000.0,13907000000.0,,108023000000.0
20190930,,,,267320000000.0,,,15204000000.0,18907000000.0,,86386000000.0
20190630,,,,188501000000.0,,,2164000000.0,79734000000.0,,8471000000.0
20190331,,,,331167000000.0,,,,,,
20181231,,,35353000000.0,,,,56842000000.0,9307000000.0,,
20180930,,,60333000000.0,,,,70036000000.0,,,
20180630,,,9228000000.0,1189000000.0,,,69555000000.0,,,
20180331,,,21874000000.0,,,,18318000000.0,18253000000.0,,
20171231,,,34765000000.0,8276000000.0,,,45023000000.0,41650000000.0,61651000000.0,91264000000.0
20170930,,,26213000000.0,102989000000.0,,,31051000000.0,68244000000.0,,
20170630,,,24593000000.0,26412000000.0,,,31550000000.0,15654000000.0,,
20170331,,,29578000000.0,26251000000.0,,,35260000000.0,,,
20161231,,,123977000000.0,347743000000.0,,,,,,
20160930,,,36498000000.0,150456000000.0,,,,68508000000.0,,
20160630,,,56886000000.0,50106000000.0,,,,26507000000.0,,
20160331,,,44293000000.0,,,,3342000000.0,35018000000.0,,
20151231,,,2639000000.0,442342000000.0,,,36251000000.0,153050000000.0,,
20150930,,,22819000000.0,425381000000.0,,,14071000000.0,32392000000.0,,
20150630,,,19891000000.0,283838000000.0,,,2308000000.0,96529000000.0,,
20150331,,,39730000000.0,,,,8803000000.0,45837000000.0,,
20141231,,,20405000000.0,353322000000.0,,,,105400000000.0,,
20140930,,,230000000.0,216207000000.0,,,,40177000000.0,,
20140630,,,107000000.0,220481000000.0,,,,,,
20140331,,,,101936000000.0,,,9320000000.0,,,
20131231,,,486000000.0,459886000000.0,,,17481000000.0,39934000000.0,,
20130930,,,438000000.0,421028000000.0,,,25263000000.0,,7148000000.0,
20130630,,,222000000.0,306050000000.0,,,35490000000.0,18590000000.0,33370000000.0,
20130331,,,115000000.0,228021000000.0,,,30572000000.0,,,
20121231,,,65000000.0,388966000000.0,,,,7895000000.0,,
20120930,,,60000000.0,359112000000.0,,,,,,
20120630,,,60000000.0,293610000000.0,,,,,,
20120331,,,,100372000000.0,,,,54174000000.0,,
20111231,,,,313685000000.0,,,,143675000000.0,,
20110930,,,,207466004000.0,,,,112393699000.0,,
20110630,,,,160641104000.0,,,,95073552000.0,36291670000.0,
20110331,,,188902000.0,37609688000.0,,,,77784068000.0,,
20101231,,,2000000.0,475220655000.0,,,12047969000.0,-312356596355.19,,
20100930,,,-3074728.0,301507192886.7,,,,-224981117628.21,,
20100630,,,48295000.0,143567854000.0,,,,-95697866384.36,,
20100331,,,-48000000.0,19449219388.62,,,,-36328223004.51,,
20091231,,,48000000.0,331543365926.56,,,,101611194963.4,,
20090930,,,,293105679220.37,,,,32797284272.76,,
20090630,,,,322490651204.83,,,,20716667468.35,,
20090331,,,,195739994809.77,,,,50347473812.92,,
20081231,,,-10000000.0,345180181134.15,,,,-74337386151.76,,
20080930,,,-10000000.0,163026459144.0,,,,2420681336.11,,
20080630,,,-10000000.0,67277997422.41,,,,36882127267.58,,
20080331,,,-10000000.0,37659509162.59,,,,1319504339.57,,
20071231,,,10000000.0,197210672222.82,,,,-67106408388.31,,
20070930,,,103494299.3,141051207408.05,141051207408.05,,,-12154336605.66,,
20070630,,,108892419.48,61389979060.39,61389979060.39,,,6286841218.68,,
20070331,,,,5873126147.76,9735691709.0,1097711926.92,,11014109670.19,,3685058929.91
20061231,,,,101190025144.74,,,,8040763003.54,,
20060930,,,,61362889890.5,52221151508.41,1069085511.13,,-935111520.54,,792337632.57
20060630,,,,53266837671.84,,,,7873900050.33,,
20060331,,5116735187.21,1089768447.01,12997277889.45,11907509442.44,1089768447.01,,88000100.0,,1604958754.34
20051231,,,,,,,,,,
20050930,,,,46024356158.44,43603228264.92,2421127893.52,,-1956516440.0,,-6436588833.69
20050630,,,,29548180674.07,27633018680.61,1915161993.46,,-983029000.0,,-2269998664.95
20050331,,,,-4982298595.77,-2330677780.55,-2651620815.22,,26594230.0,,2504071580.46
20041231,,,,68239895836.55,67063171290.59,1176724545.96,,-1048862560.0,,-973273653.26
20040930,,,,50320952986.13,45106037761.98,5214915224.15,,-2081322820.0,,-2015063244.78
20040630,,,3741499109.18,39254581675.09,39254581675.09,,,-2412995500.0,,-112122717.89
20040331,,,3549536322.81,16497615709.48,16497615709.48,,,-1470643500.0,,6396555166.82
20031231,,,,56771964879.03,55733119390.38,1038845488.65,,-1814885072.04,,9171121618.21
20030930,,,350000000.0,37108368583.21,35304598733.3,1803769849.91,,11384009115.96,,2918460000.0
20030630,,,,25083226507.67,22555398148.44,2527828359.23,,14144051343.33,,3652000000.0
