报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,中间业务净收入,中间业务收入,中间业务支出
20240930,129839000000.0,86219000000.0,216841000000.0,130622000000.0,17914000000.0,23103000000.0,5189000000.0,,,
20240630,88248000000.0,58046000000.0,145885000000.0,87839000000.0,12282000000.0,15729000000.0,3447000000.0,,,
20240331,45328000000.0,28416000000.0,73421000000.0,45005000000.0,6637000000.0,8310000000.0,1673000000.0,,,
20231231,173434000000.0,118435000000.0,297598000000.0,179163000000.0,24453000000.0,32035000000.0,7582000000.0,,,
20230930,132815000000.0,90545000000.0,225434000000.0,134889000000.0,19633000000.0,25559000000.0,5926000000.0,,,
20230630,91230000000.0,60428000000.0,150294000000.0,89866000000.0,13962000000.0,17520000000.0,3558000000.0,,,
20230331,48079000000.0,30347000000.0,74889000000.0,44542000000.0,7446000000.0,9200000000.0,1754000000.0,,,
20221231,188622000000.0,133669000000.0,299520000000.0,165851000000.0,28691000000.0,37766000000.0,9075000000.0,,,
20220930,143680000000.0,101592000000.0,225031000000.0,123439000000.0,22191000000.0,28801000000.0,6610000000.0,,,
20220630,98644000000.0,68681000000.0,150278000000.0,81597000000.0,15281000000.0,19533000000.0,4252000000.0,,,
20220331,50002000000.0,34502000000.0,75332000000.0,40830000000.0,8325000000.0,10531000000.0,2206000000.0,,,
20211231,190982000000.0,135958000000.0,300693000000.0,164735000000.0,29134000000.0,39847000000.0,10713000000.0,,,
20210930,143484000000.0,101389000000.0,224126000000.0,122737000000.0,22320000000.0,30377000000.0,8057000000.0,,,
20210630,97365000000.0,67662000000.0,149361000000.0,81699000000.0,15266000000.0,20644000000.0,5378000000.0,,,
20210331,49522000000.0,33672000000.0,74091000000.0,40419000000.0,8124000000.0,10730000000.0,2606000000.0,,,
20201231,196384000000.0,138581000000.0,294985000000.0,156404000000.0,33946000000.0,44257000000.0,10311000000.0,,,
20200930,148731000000.0,103204000000.0,220134000000.0,116930000000.0,27787000000.0,35288000000.0,7501000000.0,,,
20200630,101407000000.0,70088000000.0,146420000000.0,76332000000.0,16961000000.0,22270000000.0,5309000000.0,,,
20200331,55424000000.0,36637000000.0,74506000000.0,37869000000.0,9506000000.0,11955000000.0,2449000000.0,,,
20191231,190688000000.0,144523000000.0,297767000000.0,153244000000.0,24774000000.0,35523000000.0,10749000000.0,,,
20190930,146386000000.0,97822000000.0,212776000000.0,114954000000.0,31251000000.0,39021000000.0,7770000000.0,,,
20190630,97599000000.0,64264000000.0,140097000000.0,75833000000.0,22690000000.0,27515000000.0,4825000000.0,,,
20190331,50084000000.0,31446000000.0,69697000000.0,38251000000.0,11976000000.0,14387000000.0,2411000000.0,,,
20181231,170865000000.0,111844000000.0,267488000000.0,155644000000.0,39009000000.0,46205000000.0,7196000000.0,,,
20180930,126850000000.0,80809000000.0,199796000000.0,118987000000.0,29971000000.0,34749000000.0,4778000000.0,,,
20180630,82023000000.0,51297000000.0,132623000000.0,81326000000.0,19860000000.0,22663000000.0,2803000000.0,,,
20180331,39431000000.0,25772000000.0,66216000000.0,40444000000.0,10580000000.0,11902000000.0,1322000000.0,,,
20171231,168619000000.0,106912000000.0,245818000000.0,138906000000.0,45580000000.0,50773000000.0,5193000000.0,,,
20170930,125471000000.0,78900000000.0,180358000000.0,101458000000.0,35551000000.0,38931000000.0,3380000000.0,,,
20170630,84045000000.0,51803000000.0,118593000000.0,66790000000.0,24154000000.0,26257000000.0,2103000000.0,,,
20170331,42945000000.0,26519000000.0,58665000000.0,32146000000.0,12191000000.0,13132000000.0,941000000.0,,,
20161231,160779000000.0,108120000000.0,214814000000.0,106694000000.0,40692000000.0,43236000000.0,2544000000.0,,,
20160930,120928000000.0,81850000000.0,161298000000.0,79448000000.0,31140000000.0,32652000000.0,1512000000.0,,,
20160630,82172000000.0,55115000000.0,108144000000.0,53029000000.0,22288000000.0,23248000000.0,960000000.0,,,
20160331,42191000000.0,27812000000.0,55643000000.0,27831000000.0,11618000000.0,12060000000.0,442000000.0,,,
20151231,146550000000.0,113009000000.0,228254000000.0,115245000000.0,27798000000.0,29313000000.0,1515000000.0,,,
20150930,108632000000.0,82529000000.0,170532000000.0,88003000000.0,21222000000.0,22274000000.0,1052000000.0,,,
20150630,70701000000.0,52940000000.0,112414000000.0,59474000000.0,14693000000.0,15305000000.0,612000000.0,,,
20150331,32991000000.0,24679000000.0,55460000000.0,30781000000.0,6932000000.0,7247000000.0,315000000.0,,,
20141231,123181000000.0,98183000000.0,212015000000.0,113832000000.0,21346000000.0,22321000000.0,975000000.0,,,
20140930,89773000000.0,71508000000.0,155929000000.0,84421000000.0,15647000000.0,16284000000.0,637000000.0,,,
20140630,59043000000.0,46498000000.0,102650000000.0,56152000000.0,10401000000.0,10806000000.0,405000000.0,,,
20140331,27602000000.0,21642000000.0,49405000000.0,27763000000.0,5013000000.0,5214000000.0,201000000.0,,,
20131231,100015000000.0,85177000000.0,177804000000.0,92627000000.0,13904000000.0,14573000000.0,669000000.0,,,
20130930,72477000000.0,61138000000.0,128897000000.0,67759000000.0,10138000000.0,10615000000.0,477000000.0,,,
20130630,46518000000.0,39262000000.0,82727000000.0,43465000000.0,6327000000.0,6660000000.0,333000000.0,,,
20130331,22011000000.0,18524000000.0,39178000000.0,20654000000.0,2920000000.0,3080000000.0,160000000.0,,,
20121231,82952000000.0,73362000000.0,150243000000.0,76881000000.0,8746000000.0,9321000000.0,575000000.0,,,
20120930,60830000000.0,53981000000.0,111879000000.0,57898000000.0,6109000000.0,6518000000.0,409000000.0,,,
20120630,40002000000.0,35606000000.0,74135000000.0,38529000000.0,3877000000.0,4154000000.0,277000000.0,,,
20120331,19909000000.0,17830000000.0,37256000000.0,19426000000.0,1840000000.0,1991000000.0,151000000.0,,,
20111231,67918000000.0,61441000000.0,121221000000.0,59780000000.0,6717000000.0,7205000000.0,488000000.0,,,
20110930,49307426000.0,44018176000.0,83671257000.0,39653081000.0,4922035000.0,5248970000.0,326935000.0,,,
20110630,31865108000.0,28368393000.0,52212378000.0,23843985000.0,3298188000.0,3505997000.0,207809000.0,,,
