,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00
SECUCODE,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ
SECURITY_CODE,300750,300750,300750,300750,300750,300750,300750,300750,300750,300750,300750
SECURITY_NAME_ABBR,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代
ORG_CODE,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205
ORG_TYPE,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用
REPORT_TYPE,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
REPORT_DATE_NAME,2024年报,2023年报,2022年报,2021年报,2020年报,2019年报,2018年报,2017年报,2016年报,2015年报,2014年报
SECURITY_TYPE_CODE,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001
NOTICE_DATE,2025-03-15 00:00:00,2024-03-16 00:00:00,2023-03-10 00:00:00,2022-04-22 00:00:00,2021-04-28 00:00:00,2020-04-25 00:00:00,2019-04-25 00:00:00,2018-03-12 00:00:00,2017-11-10 00:00:00,2017-11-10 00:00:00,2017-11-10 00:00:00
UPDATE_DATE,2025-03-15 00:00:00,2025-03-15 00:00:00,2024-03-16 00:00:00,2023-03-10 00:00:00,2022-04-22 00:00:00,2021-04-28 00:00:00,2020-04-25 00:00:00,2019-04-25 00:00:00,2018-05-29 00:00:00,2018-05-29 00:00:00,2017-11-10 00:00:00
CURRENCY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
ACCEPT_DEPOSIT_INTERBANK,,,,,,,,,,,
ACCOUNTS_PAYABLE,130977408000.0,117038774000.0,94534976000.0,48784286300.0,15634844300.0,10692137500.67,7057075077.4,4978257325.43,3173395264.55,1472399950.48,384712991.47
ACCOUNTS_RECE,64135510000.0,64020533000.0,57966516900.0,23753548200.0,11293523700.0,8338535645.35,6224857396.53,6918521550.9,7315840024.05,2393930005.73,371591280.04
ACCRUED_EXPENSE,,,,,,,,,,,
ADVANCE_RECEIVABLES,,,,,,6161443242.83,4994400867.91,203165478.74,87727135.56,170045760.44,8715160.0
AGENT_TRADE_SECURITY,,,,,,,,,,,
AGENT_UNDERWRITE_SECURITY,,,,,,,,,,,
AMORTIZE_COST_FINASSET,,,,,,,,,,,
AMORTIZE_COST_FINLIAB,,,,,,,,,,,
AMORTIZE_COST_NCFINASSET,,,,,,,,,,,
AMORTIZE_COST_NCFINLIAB,,,,,,,,,,,
APPOINT_FVTPL_FINASSET,,,,,,,,,,,
APPOINT_FVTPL_FINLIAB,,,,,,,,,,,
ASSET_BALANCE,-1000,0,0,-100,0,0,0,0,0,0,0
ASSET_OTHER,,,,,,,,,,,
ASSIGN_CASH_DIVIDEND,,,,,,,,,,,
AVAILABLE_SALE_FINASSET,,,,,,,1516521098.2,1961291000.0,143400000.0,5000000.0,5000000.0
BOND_PAYABLE,11922623000.0,19237014000.0,19177888600.0,15855052000.0,14382256000.0,1508339195.7,,,,,
BORROW_FUND,,,,,,,,,,,
BUY_RESALE_FINASSET,,,,,,,,,,,
CAPITAL_RESERVE,116756136000.0,87907213000.0,88904372100.0,43163696500.0,41662151600.0,21630448577.59,21372918712.25,15354587816.94,11608553987.09,369014163.84,
CIP,29754703000.0,25011907000.0,35397650600.0,30998159500.0,5750351800.0,1996524778.01,1623838222.94,2974364031.46,1226129855.44,474893794.61,174061216.38
CONSUMPTIVE_BIOLOGICAL_ASSET,,,,,,,,,,,
CONTRACT_ASSET,400626000.0,233964000.0,174863000.0,77285500.0,75269000.0,,,,,,
CONTRACT_LIAB,27834446000.0,23982352000.0,22444785300.0,11537915300.0,6875227800.0,,,,,,
CONVERT_DIFF,,,,,,,,,,,
CREDITOR_INVEST,,,,,,,,,,,
CURRENT_ASSET_BALANCE,1000,-1000,0,-100,100,0,0,0,0,0,0
CURRENT_ASSET_OTHER,,,,,,,,,,,
CURRENT_LIAB_BALANCE,1000,-1000,100,0,0,286915936,0,0,0,0,0
CURRENT_LIAB_OTHER,,,,,,,,,,,
DEFER_INCOME,22041069000.0,21448987000.0,19966701700.0,12099359100.0,3918939200.0,813236654.86,611042047.22,419460871.47,403581087.31,296337217.09,214850053.5
DEFER_INCOME_1YEAR,,,,,,,,,,,
DEFER_TAX_ASSET,24118834000.0,17395585000.0,9483660400.0,5542554400.0,3167109900.0,2079210533.02,1240737742.63,510045198.34,264912007.47,135241432.42,25097812.88
DEFER_TAX_LIAB,1231236000.0,1364906000.0,1807813000.0,1038576900.0,85518800.0,91191949.71,40984489.33,68992112.81,28130130.54,30220779.54,
DERIVE_FINASSET,,,575638000.0,243105100.0,1330347100.0,1812135529.6,512661245.82,13744559.02,,,
DERIVE_FINLIAB,2116017000.0,3941410000.0,,,,,,,,,
DEVELOP_EXPENSE,,,,,,,,,,,
DIV_HOLDSALE_ASSET,,,,,,,,,,,
DIV_HOLDSALE_LIAB,,,,,,,,,,,
DIVIDEND_PAYABLE,5400161000.0,29916000.0,8319600.0,6590800.0,6172800.0,2418687.95,,,,,
DIVIDEND_RECE,65217000.0,425985000.0,,,,,,,,,
EQUITY_BALANCE,0,1000,0,0,-100,0,0,0,0,0,0
EQUITY_OTHER,,,,,,,,,,,
EXPORT_REFUND_RECE,,,,,,,,,,,
FEE_COMMISSION_PAYABLE,,,,,,,,,,,
FIN_FUND,,,,,,,,,,,
FINANCE_RECE,53309701000.0,55289319000.0,18965714600.0,6486380800.0,,,,,,,
FIXED_ASSET,112589053000.0,115387960000.0,89070834700.0,41275333300.0,19621648400.0,17417348593.44,11574665757.11,8219496581.74,3727473865.79,1313098299.52,242838681.05
FIXED_ASSET_DISPOSAL,,,,,,,,,,6710.03,
FVTOCI_FINASSET,,,,,,,,,,,
FVTOCI_NCFINASSET,,,,,,,,,,,
FVTPL_FINASSET,,,,,,,,,,,
FVTPL_FINLIAB,,,,,,,314247518.1,,,,
GENERAL_RISK_RESERVE,,,,,,,,,,,
GOODWILL,894757000.0,707882000.0,704065200.0,527850700.0,147951900.0,147951887.23,100419270.78,100419270.78,100419270.78,100419270.78,
HOLD_MATURITY_INVEST,,,,,,,,,,,
HOLDSALE_ASSET,,,,,,,,,5400000.0,,
HOLDSALE_LIAB,,,,,,,,,,,
INSURANCE_CONTRACT_RESERVE,,,,,,,,,,,
INTANGIBLE_ASSET,14419804000.0,15675876000.0,9539963200.0,4479606400.0,2517935700.0,2302317207.14,1346171137.42,1408760249.33,621645950.26,502758023.88,237605481.13
INTEREST_PAYABLE,,,,,,,19842845.23,15205262.28,5776292.16,3639309.42,92346.79
INTEREST_RECE,,,,,,,92808117.05,52310504.72,7564477.11,,
INTERNAL_PAYABLE,,,,,,,,,,,
INTERNAL_RECE,,,,,,,,,,,
INVENTORY,59835533000.0,45433890000.0,76668898800.0,40199691900.0,13224641000.0,11480549879.88,7076101849.47,3417757092.32,1359772316.12,1041611188.85,312078268.93
INVEST_REALESTATE,,,,,,,,,,,
LEASE_LIAB,662814000.0,283296000.0,572350200.0,395304000.0,,,,,,,
LEND_FUND,,,,,,,,,,,
LIAB_BALANCE,-1000,0,0,0,0,0,0,0,0,0,0
LIAB_EQUITY_BALANCE,,,,,,,,,,,
LIAB_EQUITY_OTHER,,,,,,,,,,,
LIAB_OTHER,,,,,,,,,,,
LOAN_ADVANCE,,,,,,,,,,,
LOAN_PBC,,,,,,,,,,,
LONG_EQUITY_INVEST,54791525000.0,50027694000.0,17595207400.0,10949033600.0,4813072900.0,1540452827.51,965198180.81,791027220.9,169658176.39,,227224101.96
LONG_LOAN,81238456000.0,83448982000.0,59099358400.0,22119078800.0,6068163300.0,4980563181.26,3490767815.96,2129095275.13,302000000.0,,
LONG_PAYABLE,1606480000.0,1520256000.0,1050000000.0,1010000000.0,1193938600.0,873618580.61,943414523.31,895045177.66,950079201.39,917666570.26,1344911122.2
LONG_PREPAID_EXPENSE,4593980000.0,4695780000.0,2294776000.0,1264339100.0,363551700.0,394096018.07,305828515.4,139310483.53,14206421.31,6133369.98,302589.41
LONG_RECE,151342000.0,9840000.0,44316100.0,619282400.0,372156600.0,,,,,,
LONG_STAFFSALARY_PAYABLE,,,,,,,,,,,
MINORITY_EQUITY,26526141000.0,22175098000.0,12427910400.0,8108903200.0,4987417100.0,4052891263.24,2261889695.31,1769799526.51,302472760.51,244663210.07,78524562.99
MONETARYFUNDS,303511993000.0,264306515000.0,191043409500.0,89071889700.0,68424116100.0,32269635327.07,27731189739.92,14080936626.3,2456530834.16,1292935327.52,59580991.01
NONCURRENT_ASSET_1YEAR,72972000.0,56828000.0,403711500.0,201655900.0,81548600.0,,,,,,
NONCURRENT_ASSET_BALANCE,0,0,0,0,100,0,0,0,0,0,0
NONCURRENT_ASSET_OTHER,,,,,,,,,,,
NONCURRENT_LIAB_1YEAR,22881417000.0,7008874000.0,7232224400.0,3548532800.0,1349038700.0,1077468495.09,929024032.37,364944599.97,240511234.77,1322574459.48,127376000.0
NONCURRENT_LIAB_BALANCE,0,1000,0,-100,-100,-286915936,0,0,0,0,0
NONCURRENT_LIAB_OTHER,,,,,,286915936.0,,,,,
NOTE_ACCOUNTS_PAYABLE,198333731000.0,194553715000.0,220764444200.0,107190037600.0,31271433800.0,28112335291.07,18898203153.95,13790972911.63,7567434733.26,2513604424.24,489133597.48
NOTE_ACCOUNTS_RECE,64265913000.0,65772258000.0,61492600600.0,25217376200.0,21170680000.0,17988485338.2,15967748024.97,12376856841.25,7886362861.15,2816112300.43,371591280.04
NOTE_PAYABLE,67356323000.0,77514941000.0,126229468200.0,58405751300.0,15636589500.0,17420197790.4,11841128076.55,8812715586.2,4394039468.71,1041204473.76,104420606.01
NOTE_RECE,130403000.0,1751725000.0,3526083700.0,1463828000.0,9877156300.0,9649949692.85,9742890628.44,5458335290.35,570522837.1,422182294.7,
OIL_GAS_ASSET,,,,,,,,,,,
OTHER_COMPRE_INCOME,-348637000.0,1528223000.0,8931300000.0,4208319800.0,1126993000.0,620819644.93,-336839207.93,248500011.58,1566890.34,678828.11,183958.4
OTHER_CREDITOR_INVEST,,,,,,,,,,,
OTHER_CURRENT_ASSET,6286465000.0,8286025000.0,11907028600.0,5292231900.0,969240500.0,1647816662.94,1076991664.73,2695030983.77,9760704235.56,227855161.28,1104090329.41
OTHER_CURRENT_LIAB,2058196000.0,2091628000.0,1622032600.0,1242490300.0,760009000.0,,,,,,
OTHER_EQUITY_INVEST,11900901000.0,14128318000.0,20491264200.0,11306853200.0,1997027000.0,1530603722.8,,,,,
OTHER_EQUITY_OTHER,,,,,,,,,,,
OTHER_EQUITY_TOOL,,,,,,,,,,,
OTHER_NONCURRENT_ASSET,19275483000.0,21145073000.0,25101316500.0,20575419100.0,5002631600.0,2248533970.82,1298901335.85,525068808.1,559144024.11,630939035.37,70316438.57
OTHER_NONCURRENT_FINASSET,3135658000.0,2816190000.0,2645306600.0,1714865300.0,,,,,,,
OTHER_NONCURRENT_LIAB,5400795000.0,31341466000.0,6910284100.0,3228720400.0,,,,,,,
OTHER_PAYABLE,,,,,,,,317156883.9,360240077.32,311755056.01,62047482.54
OTHER_RECE,,,,,,,,90630850.1,183806946.21,55484188.21,29995923.56
PARENT_EQUITY_BALANCE,1000,0,0,0,100,0,0,0,0,0,0
PARENT_EQUITY_OTHER,,,,,,,,,,,
PERPETUAL_BOND,,,,,,,,,,,
PERPETUAL_BOND_PAYBALE,,,,,,,,,,,
PREDICT_CURRENT_LIAB,,,,,,,,,,,
PREDICT_LIAB,71926943000.0,51638913000.0,19697374600.0,9953762700.0,6797704900.0,5289773262.4,2512382681.52,1789007284.61,930580458.65,581118102.95,43656244.08
PREFERRED_SHARES,,,,,,,,,,,
PREFERRED_SHARES_PAYBALE,,,,,,,,,,,
PREMIUM_RECE,,,,,,,,,,,
PREPAYMENT,5969685000.0,6962873000.0,15843284400.0,6466439300.0,997118600.0,538163094.42,864640798.47,305835456.79,101183102.22,70469398.58,15325513.65
PRODUCTIVE_BIOLOGY_ASSET,,,,,,,,,,,
PROJECT_MATERIAL,,,,,,,,,,,
RC_RESERVE_RECE,,,,,,,,,,,
REINSURE_PAYABLE,,,,,,,,,,,
REINSURE_RECE,,,,,,,,,,,
SELL_REPO_FINASSET,,,,,,,,,,,
SETTLE_EXCESS_RESERVE,,,,,,,,,,,
SHARE_CAPITAL,4403466000,4399041000,2442514500,2330851200,2329474000,2208399700,2195017400,1955193267,613321800,470590000,200000000
SHORT_BOND_PAYABLE,,,,,,,,,,,
SHORT_FIN_PAYABLE,,,,,,,,,,,
SHORT_LOAN,19696282000.0,15181012000.0,14415402500.0,12123056900.0,6335080200.0,2125646681.77,1180092100.11,2245096000.7,1226587998.8,576558942.87,197129703.88
SPECIAL_PAYABLE,,,,,,,,,,,
SPECIAL_RESERVE,35551000.0,9355000.0,,,,,,,,,
STAFF_SALARY_PAYABLE,18653079000.0,14846251000.0,9476018400.0,5122787800.0,2657564900.0,1582275521.53,1122253456.83,517308034.99,446249267.28,198490932.79,21201376.97
SUBSIDY_RECE,,,,,,,,,,,
SURPLUS_RESERVE,2194779000.0,2192566000.0,1214302900.0,1158471200.0,1157782600.0,1097245469.55,985878418.69,638253676.69,299841288.9,37079169.44,6954380.45
TAX_PAYABLE,9436442000.0,11741826000.0,4792441200.0,2403797500.0,1321059100.0,962984568.04,722536564.72,436196766.94,248297683.21,252617557.72,30587729.51
TOTAL_ASSETS,786658123000.0,717168041000.0,600952351900.0,307666860900.0,156618426900.0,101351976711.32,73883704016.51,49662885758.45,28588314344.08,8672957501.46,2875108627.98
TOTAL_CURRENT_ASSETS,510142089000.0,449788002000.0,387734857000.0,177734938700.0,112864989300.0,71694937173.28,53911422755.37,33033102914.27,21761324772.53,5504467564.87,1892662306.6
TOTAL_CURRENT_LIAB,317171534000.0,287001069000.0,295761419300.0,149344832600.0,54977189800.0,45607378729.06,31084941868.55,17890045939.15,10182824422.36,5349286442.97,936283397.17
TOTAL_EQUITY,273456174000.0,219883151000.0,176909162000.0,92622174500.0,69194716400.0,42187875157.72,35200170590.62,26471239097.62,15791119043.83,1498328388.65,335407811.03
TOTAL_LIAB_EQUITY,786658123000.0,717168041000.0,600952351900.0,307666860900.0,156618426900.0,101351976711.32,73883704016.51,49662885758.45,28588314344.08,8672957501.46,2875108627.98
TOTAL_LIABILITIES,513201949000.0,497284890000.0,424043189900.0,215044686400.0,87423710500.0,59164101553.6,38683533425.89,23191646660.83,12797195300.25,7174629112.81,2539700816.95
TOTAL_NONCURRENT_ASSETS,276516035000.0,267380039000.0,213217494900.0,129931922300.0,43753437600.0,29657039538.04,19972281261.14,16629782844.18,6826989571.55,3168489936.59,982446321.38
TOTAL_NONCURRENT_LIAB,196030416000.0,210283821000.0,128281770600.0,65699853800.0,32446520700.0,13556722824.54,7598591557.34,5301600721.68,2614370877.89,1825342669.84,1603417419.78
TOTAL_OTHER_PAYABLE,16161923000.0,13654002000.0,15014070600.0,6176214400.0,4407776300.0,5298308992.73,2924184174.56,332362146.18,366016369.48,315394365.43,62139829.33
TOTAL_OTHER_RECE,2206947000.0,3438564000.0,8678379900.0,3114909600.0,3303956800.0,4568565748.8,682089431.99,142941354.82,191371423.32,55484188.21,29995923.56
TOTAL_PARENT_EQUITY,246930033000.0,197708052000.0,164481251600.0,84513271300.0,64207299400.0,38134983894.48,32938280895.31,24701439571.11,15488646283.32,1253665178.58,256883248.04
TRADE_FINASSET,,,,,,,,,,,
TRADE_FINASSET_NOTFVTPL,14282253000.0,7767000.0,1981328100.0,1363972900.0,3288071500.0,1389585592.37,,,,,
TRADE_FINLIAB,,,,,,,,,,,
TRADE_FINLIAB_NOTFVTPL,,,,,,286915936.0,,,,,
TREASURY_SHARES,2712804000.0,1572972000.0,253991000.0,443534900.0,710020600.0,1074894790.0,793701060.0,,,,
UNASSIGN_RPOFIT,126601541000.0,103244626000.0,63242753100.0,34095467500.0,18640918700.0,13652965292.41,9515006632.3,6504904798.9,2965362316.99,376303017.19,49744909.19
UNCONFIRM_INVEST_LOSS,,,,,,,,,,,
USERIGHT_ASSET,889995000.0,377934000.0,849134000.0,678625300.0,,,,,,,
ACCEPT_DEPOSIT_INTERBANK_YOY,,,,,,,,,,,
ACCOUNTS_PAYABLE_YOY,11.9094155925,23.8047323353,93.7816111907,212.0228469432,46.2274900507,51.5094764247,41.7579409034,56.8747953034,115.5253580059,282.726859536,
ACCOUNTS_RECE_YOY,0.1795939437,10.4439880534,144.0330868127,110.328935689,35.4377336781,33.9554485216,-10.0261905563,-5.4309344087,205.5995792082,544.2374012308,
ACCRUED_EXPENSE_YOY,,,,,,,,,,,
ADVANCE_RECEIVABLES_YOY,,,,,,23.3670144985,2358.2920774161,131.5879544489,-48.409689643,1851.1490373097,
AGENT_TRADE_SECURITY_YOY,,,,,,,,,,,
AGENT_UNDERWRITE_SECURITY_YOY,,,,,,,,,,,
AMORTIZE_COST_FINASSET_YOY,,,,,,,,,,,
