,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00
SECUCODE,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ
SECURITY_CODE,300750,300750,300750,300750,300750,300750,300750,300750,300750,300750,300750
SECURITY_NAME_ABBR,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代
ORG_CODE,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205
ORG_TYPE,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用
REPORT_TYPE,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
REPORT_DATE_NAME,2024年报,2023年报,2022年报,2021年报,2020年报,2019年报,2018年报,2017年报,2016年报,2015年报,2014年报
SECURITY_TYPE_CODE,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001
NOTICE_DATE,2025-03-15 00:00:00,2024-03-16 00:00:00,2023-03-10 00:00:00,2022-04-22 00:00:00,2021-04-28 00:00:00,2020-04-25 00:00:00,2019-04-25 00:00:00,2018-03-12 00:00:00,2017-11-10 00:00:00,2017-11-10 00:00:00,2017-11-10 00:00:00
UPDATE_DATE,2025-03-15 00:00:00,2025-03-15 00:00:00,2024-03-16 00:00:00,2023-03-10 00:00:00,2022-04-22 00:00:00,2021-04-28 00:00:00,2020-04-25 00:00:00,2019-04-25 00:00:00,2018-05-29 00:00:00,2018-05-29 00:00:00,2017-11-10 00:00:00
CURRENCY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
SALES_SERVICES,417525378000.0,417943223000.0,305775248400.0,130616575600.0,54002988600.0,52149078427.56,33853639616.99,18872908615.92,11524664337.65,4153743551.55,732813440.92
DEPOSIT_INTERBANK_ADD,,,,,,,,,,,
LOAN_PBC_ADD,,,,,,,,,,,
OFI_BF_ADD,,,,,,,,,,,
RECEIVE_ORIGIC_PREMIUM,,,,,,,,,,,
RECEIVE_REINSURE_NET,,,,,,,,,,,
INSURED_INVEST_ADD,,,,,,,,,,,
DISPOSAL_TFA_ADD,,,,,,,,,,,
RECEIVE_INTEREST_COMMISSION,,,,,,,,,,,
BORROW_FUND_ADD,,,,,,,,,,,
LOAN_ADVANCE_REDUCE,,,,,,,,,,,
REPO_BUSINESS_ADD,,,,,,,,,,,
RECEIVE_TAX_REFUND,10506188000.0,12739610000.0,9478689900.0,414542800.0,151928500.0,395686584.53,37127687.41,21013193.89,1476437.43,670144.46,4165547.69
RECEIVE_OTHER_OPERATE,16847851000.0,15724664000.0,14557214600.0,14298549300.0,6397335900.0,3763244302.06,2274383357.82,637638992.58,421522517.2,221173494.7,11345197.89
OPERATE_INFLOW_OTHER,,,,,,,,0.0,0.0,0.0,
OPERATE_INFLOW_BALANCE,0,0,-100,0,0,0,0,0,0,0,0
TOTAL_OPERATE_INFLOW,444879417000.0,446407497000.0,329811152800.0,145329667700.0,60552253000.0,56308009314.15,36165150662.22,19531560802.39,11947663292.28,4375587190.71,748324186.5
BUY_SERVICES,285455632000.0,310521178000.0,235327104000.0,86393876300.0,33461951700.0,33260080970.87,19041614626.94,12357592298.17,5954917349.27,2302132506.69,601009216.98
LOAN_ADVANCE_ADD,,,,,,,,,,,
PBC_INTERBANK_ADD,,,,,,,,,,,
PAY_ORIGIC_COMPENSATE,,,,,,,,,,,
PAY_INTEREST_COMMISSION,,,,,,,,,,,
PAY_POLICY_BONUS,,,,,,,,,,,
PAY_STAFF_CASH,25499653000.0,21140597000.0,18157352000.0,9423183000.0,4027848100.0,3704062487.97,2299961469.07,2122637417.2,1249671965.87,437554338.26,98419099.09
PAY_ALL_TAX,28529188000.0,17117192000.0,10529733400.0,4127789000.0,2265587400.0,2688800053.78,1868081717.0,1493296692.69,1559891278.12,474554245.93,28689220.56
PAY_OTHER_OPERATE,8404599000.0,4802406000.0,4588120100.0,2476810700.0,2366963000.0,3183111244.73,1639227148.68,1108823984.08,1074055972.23,496812115.82,159111051.94
OPERATE_OUTFLOW_OTHER,,,,,,,,0.0,0.0,0.0,
OPERATE_OUTFLOW_BALANCE,0,0,100,0,100,0,0,0,0,0,0
TOTAL_OPERATE_OUTFLOW,347889072000.0,353581373000.0,268602309600.0,102421659000.0,42122350300.0,42836054757.35,24848884961.69,17082350392.14,9838536565.49,3711053206.7,887228588.57
OPERATE_NETCASH_OTHER,,,,,,,,,,,
OPERATE_NETCASH_BALANCE,0,0,100,0,-100,0,0,0,0,0,0
NETCASH_OPERATE,96990345000.0,92826124000.0,61208843300.0,42908008700.0,18429902600.0,13471954556.8,11316265700.53,2449210410.25,2109126726.79,664533984.01,-138904402.07
WITHDRAW_INVEST,2028899000.0,7651158000.0,1307996200.0,571745100.0,44779800.0,0.23,5258600.0,448002008.14,10027000.0,,
RECEIVE_INVEST_INCOME,1838083000.0,1711393000.0,740372300.0,228638800.0,24087100.0,2563085.15,3655688.2,2565089.09,,,
DISPOSAL_LONG_ASSET,75110000.0,12853000.0,593900.0,3223100.0,24600.0,15088255.27,294506.1,572921.94,5046154.0,,
DISPOSAL_SUBSIDIARY_OTHER,,3307000.0,,58414400.0,,10026813.18,,,,,
REDUCE_PLEDGE_TIMEDEPOSITS,,,,,,,,,,,
RECEIVE_OTHER_INVEST,963920000.0,1239799000.0,1531307500.0,4094314000.0,2735874400.0,15477402748.49,70629509.16,650369140.52,61944950.69,1088566666.05,3180178.72
INVEST_INFLOW_OTHER,,,,,,,,0.0,0.0,0.0,
INVEST_INFLOW_BALANCE,0,0,0,-100,0,0,0,0,0,0,0
TOTAL_INVEST_INFLOW,4906012000.0,10618510000.0,3580269900.0,4956335300.0,2804765900.0,15505080902.32,79838303.46,1101509159.69,77018104.69,1088566666.05,3180178.72
CONSTRUCT_LONG_ASSET,31179943000.0,33624897000.0,48215268100.0,43767770800.0,13302355800.0,9626986411.07,6629274672.98,7180281117.24,2800818908.69,1553786649.12,300525204.81
INVEST_PAY_CASH,22169451000.0,5649689000.0,12764660700.0,11725718900.0,4088418500.0,907758218.55,192025942.3,1665503314.78,262828666.62,,
PLEDGE_LOAN_ADD,,,,,,,,,,,
OBTAIN_SUBSIDIARY_OTHER,244022000.0,321445000.0,,295800300.0,,,,,,173225298.0,
ADD_PLEDGE_TIMEDEPOSITS,,,,,,,,,,,
PAY_OTHER_INVEST,187907000.0,210243000.0,6740182400.0,2948104700.0,466447800.0,3114021020.85,12746210861.04,656.0,9441784763.04,2900000.0,976061675.94
INVEST_OUTFLOW_OTHER,,,,,,,,0.0,0.0,0.0,
INVEST_OUTFLOW_BALANCE,0,1000,0,0,0,0,0,0,0,0,0
TOTAL_INVEST_OUTFLOW,53781323000.0,39806275000.0,67720111200.0,58737394700.0,17857222100.0,13648765650.47,19567511476.32,8845785088.02,12505432338.35,1729911947.12,1276586880.75
INVEST_NETCASH_OTHER,,,,,,,,,,,
INVEST_NETCASH_BALANCE,0,1000,0,0,0,0,0,0,0,0,0
NETCASH_INVEST,-48875311000.0,-29187764000.0,-64139841300.0,-53781059400.0,-15052456200.0,1856315251.85,-19487673172.86,-7744275928.33,-12428414233.66,-641345281.07,-1273406702.03
ACCEPT_INVEST_CASH,2560428000.0,3323996000.0,47455207300.0,1551412800.0,20536361000.0,1217784889.68,6274955935.37,6178645978.0,11131845526.0,150503750.0,24400000.0
SUBSIDIARY_ACCEPT_INVEST,1959694000.0,2926448000.0,2092259300.0,795200000.0,923523400.0,721974398.68,108785163.6,1168645100.0,7840000.0,500000.0,24400000.0
RECEIVE_LOAN_CASH,30540129000.0,46595746000.0,50957726600.0,26276582500.0,9450920700.0,4616632167.94,4123196326.07,4476769278.83,1930654288.91,830867703.13,201635144.87
ISSUE_BOND,,,,,,,,,,,
RECEIVE_OTHER_FINANCE,292179000.0,366758000.0,5208177600.0,3235028400.0,13199266400.0,1498800000.0,510282473.44,9028894.69,747351550.61,893371268.45,1556561925.62
FINANCE_INFLOW_OTHER,,,,,,,,,,,
FINANCE_INFLOW_BALANCE,-1000,1000,0,-100,0,0,0,0,0,0,0
TOTAL_FINANCE_INFLOW,33392735000.0,50286501000.0,103621111500.0,31063023600.0,43186548100.0,7333217057.62,10908434734.88,10664444151.52,13809851365.52,1874742721.58,1782597070.49
PAY_DEBT_CASH,19972240000.0,23795322000.0,17605770500.0,5457907900.0,4743701200.0,2418452429.42,3493721841.0,1421628377.86,937312259.12,628641795.8,4760000.0
ASSIGN_DIVIDEND_PORFIT,25807432000.0,9481093000.0,3551469400.0,1568025100.0,898809800.0,573302388.77,216119536.13,81600198.58,53696810.21,69496886.29,4752841.5
SUBSIDIARY_PAY_DIVIDEND,496051000.0,469828000.0,,,7825800.0,,,,,,
BUY_SUBSIDIARY_EQUITY,,,,,,,,,,,
PAY_OTHER_FINANCE,2137299000.0,2293723000.0,197440400.0,378512600.0,112602500.0,173132704.46,155877429.51,228481941.8,1847820297.11,736699312.71,307574012.42
SUBSIDIARY_REDUCE_CASH,,,,,,,,,,,
FINANCE_OUTFLOW_OTHER,,,,,,,,0.0,0.0,0.0,
FINANCE_OUTFLOW_BALANCE,0,0,100,0,0,0,0,0,0,0,0
TOTAL_FINANCE_OUTFLOW,47916971000.0,35570138000.0,21354680400.0,7404445600.0,5755113500.0,3164887522.65,3865718806.64,1731710518.24,2838829366.44,1434837994.8,317086853.92
FINANCE_NETCASH_OTHER,,,,,,,,,,,
FINANCE_NETCASH_BALANCE,0,0,100,0,-100,0,0,0,0,0,0
NETCASH_FINANCE,-14524236000.0,14716363000.0,82266431200.0,23658578000.0,37431434500.0,4168329534.97,7042715928.24,8932733633.28,10971021999.08,439904726.78,1465510216.57
RATE_CHANGE_EFFECT,-1596552000.0,2181447000.0,2788148900.0,-711778200.0,-576950700.0,14801651.37,27440781.07,-13763656.75,-2077449.43,-800509.91,-4995362.09
CCE_ADD_OTHER,,,,,,,,,,,
CCE_ADD_BALANCE,1000,0,-100,100,100,0,0,0,0,0,0
CCE_ADD,31994247000.0,80536170000.0,82123582000.0,12073749200.0,40231930300.0,19511400994.99,-1101250763.02,3623904458.45,649657042.78,462292919.81,48203750.38
BEGIN_CCE,238165487000.0,157629317000.0,75505735200.0,63431986000.0,23200055600.0,3688654649.03,4789905412.05,1166000953.6,516343910.82,54050991.01,5847240.63
END_CCE_OTHER,,,,,,,,,,,
END_CCE_BALANCE,0,0,0,0,100,0,0,0,0,0,0
END_CCE,270159734000.0,238165487000.0,157629317200.0,75505735200.0,63431986000.0,23200055644.02,3688654649.03,4789905412.05,1166000953.6,516343910.82,54050991.01
NETPROFIT,54006794000.0,46761034000.0,33457143500.0,17860730100.0,6103918100.0,5012673897.87,3735896487.72,4194056577.66,2918436854.29,950581074.45,55563800.0
ASSET_IMPAIRMENT,8423325000.0,5853927000.0,2826926600.0,2034437800.0,1169471900.0,1670005549.8,974912150.01,244744030.88,233858870.04,58641678.66,2591100.0
FA_IR_DEPR,22437872000.0,21098131000.0,11960578600.0,5847138200.0,4576797800.0,4137828483.56,2125110234.63,1279538608.41,731417250.67,164100734.24,44569700.0
OILGAS_BIOLOGY_DEPR,22437872000.0,21098131000.0,11960578600.0,5847138200.0,4576797800.0,4137828483.56,2125110234.63,1279538608.41,731417250.67,164100734.24,44569700.0
IR_DEPR,,,,,,,,,,,
IA_AMORTIZE,470401000.0,330992000.0,236449600.0,159202600.0,135243800.0,113911953.13,95733856.19,75101189.69,47998770.85,24986934.33,22656600.0
LPE_AMORTIZE,1790382000.0,1099266000.0,894129200.0,340253100.0,155847900.0,157299905.57,83377065.66,26541967.12,5071074.74,3237903.35,64800.0
DEFER_INCOME_AMORTIZE,,,,,,,,,,,
PREPAID_EXPENSE_REDUCE,,,,,,,,,,,
ACCRUED_EXPENSE_ADD,,,,,,,,,,,
DISPOSAL_LONGASSET_LOSS,-19319000.0,-16984000.0,5322700.0,23190300.0,9890400.0,-1382204.06,91538964.57,78311541.52,158205248.94,590103.88,102500.0
FA_SCRAP_LOSS,257488000.0,55558000.0,37927500.0,67375700.0,47137000.0,18928639.15,15782022.0,,,,
FAIRVALUE_CHANGE_LOSS,-664223000.0,-46270000.0,-400241300.0,,-286915900.0,-27331582.1,314247518.1,,,,
FINANCE_EXPENSE,5165670000.0,3013734000.0,969747300.0,1580329100.0,772394900.0,270468281.25,262258592.79,112588566.26,65609349.18,113184042.2,24221600.0
INVEST_LOSS,-4384806000.0,-3825926000.0,-3044935500.0,-1561030800.0,26192500.0,-20752318.89,-184397531.48,-1344305303.77,-76080348.84,-1455431.76,-16117600.0
DEFER_TAX,-6380014000.0,-7652592000.0,-4442081900.0,-1016656100.0,-778507400.0,-788461686.04,-654295900.04,-247738190.31,-131761224.05,-112337904.0,-19814600.0
DT_ASSET_REDUCE,-6700359000.0,-7809038000.0,-4451227000.0,-1232106000.0,-772834300.0,-838669146.42,-669755258.27,-245133190.87,-129670575.05,-110143619.54,-19814600.0
DT_LIAB_ADD,320345000.0,156446000.0,9145100.0,215449900.0,-5673100.0,50207460.38,15459358.23,-2604999.44,-2090649.0,-2194284.46,
PREDICT_LIAB_ADD,,,,,,,,,,,
INVENTORY_REDUCE,-16606853000.0,31029323000.0,-39877670300.0,-28856721000.0,-2401630500.0,-5775387378.74,-4371312786.43,-2290181545.88,-320169108.33,-697915929.01,-220368300.0
OPERATE_RECE_REDUCE,634969000.0,-34168243000.0,-58697293400.0,-27816000500.0,-3415570000.0,-4768945377.05,-3143244270.65,-5075995986.77,-14762136096.64,-2315594532.87,-313910300.0
OPERATE_PAYABLE_ADD,31206935000.0,29013934000.0,115418278300.0,73855678100.0,11747641400.0,12637959848.72,11851141407.59,5271762158.56,13031595453.28,2476515310.54,281536200.0
OTHER,-460075000.0,-91394000.0,556930800.0,286750200.0,567990800.0,835138544.63,119517889.87,124786796.88,207080632.66,,
OPERATE_NETCASH_OTHERNOTE,,,,,,,,0.0,0.0,0.0,
OPERATE_NETCASH_BALANCENOTE,0,0,100,100,-100,0,0,0,0,0,100
NETCASH_OPERATENOTE,96990345000.0,92826124000.0,61208843300.0,42908008700.0,18429902600.0,13471954556.8,11316265700.53,2449210410.25,2109126726.79,664533984.01,-138904400.0
DEBT_TRANSFER_CAPITAL,,,,,,,,,,,
CONVERT_BOND_1YEAR,,,,,,,,,,,
FINLEASE_OBTAIN_FA,,,,,,,,,,,
UNINVOLVE_INVESTFIN_OTHER,,,,,,,,,,,
END_CASH,270159734000.0,238165487000.0,157629317200.0,75505735200.0,63431986000.0,23200055644.02,3688654649.03,4789905412.05,1166000953.6,516343910.82,
BEGIN_CASH,238165487000.0,157629317000.0,75505735200.0,63431986000.0,23200055600.0,3688654649.03,4789905412.05,1166000953.6,516343910.82,54050991.01,
END_CASH_EQUIVALENTS,,,,,,,,,,,
BEGIN_CASH_EQUIVALENTS,,,,,,,,,,,
CCE_ADD_OTHERNOTE,,,,,,,,,,,
CCE_ADD_BALANCENOTE,,,,,,,,,,,
CCE_ADDNOTE,31994247000.0,80536170000.0,82123582000.0,12073749200.0,40231930300.0,19511400994.99,-1101250763.02,3623904458.45,649657042.78,462292919.81,48203750.38
SALES_SERVICES_YOY,-0.0999764985,36.6831439716,134.1014124703,141.869161293,3.5550200087,54.0427529139,79.3769063685,63.7610264645,177.452476173,466.8214199695,
DEPOSIT_INTERBANK_ADD_YOY,,,,,,,,,,,
LOAN_PBC_ADD_YOY,,,,,,,,,,,
OFI_BF_ADD_YOY,,,,,,,,,,,
RECEIVE_ORIGIC_PREMIUM_YOY,,,,,,,,,,,
RECEIVE_REINSURE_NET_YOY,,,,,,,,,,,
INSURED_INVEST_ADD_YOY,,,,,,,,,,,
DISPOSAL_TFA_ADD_YOY,,,,,,,,,,,
RECEIVE_INTEREST_COMMISSION_YOY,,,,,,,,,,,
BORROW_FUND_ADD_YOY,,,,,,,,,,,
LOAN_ADVANCE_REDUCE_YOY,,,,,,,,,,,
REPO_BUSINESS_ADD_YOY,,,,,,,,,,,
RECEIVE_TAX_REFUND_YOY,-17.5313216025,34.4026456652,2186.5407142519,172.8538753427,-61.6038283986,965.7453025836,76.6875021682,1323.2363297644,120.316292699,-83.9122125139,
RECEIVE_OTHER_OPERATE_YOY,7.1428362476,8.0197306427,1.8090317736,123.5078714563,69.9952324779,65.4621807322,256.6882490384,51.2704461948,90.5845534393,1849.4899678652,
OPERATE_INFLOW_OTHER_YOY,,,,,,,,,,,
OPERATE_INFLOW_BALANCE_YOY,,100.0,,,,,,,,,
TOTAL_OPERATE_INFLOW_YOY,-0.3423060791,35.3524564619,126.9400033865,140.0070360718,7.5375488097,55.696874707,85.1626248825,63.4759896105,173.052798894,484.7181301429,
BUY_SERVICES_YOY,-8.0720890477,31.9530018948,172.3886391934,158.1854073383,0.6069459942,74.6704868389,54.0883868596,107.5191236648,158.6696174944,283.044459494,
LOAN_ADVANCE_ADD_YOY,,,,,,,,,,,
PBC_INTERBANK_ADD_YOY,,,,,,,,,,,
PAY_ORIGIC_COMPENSATE_YOY,,,,,,,,,,,
