SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
300750.SZ,300750,宁德时代,10554205,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-15 00:00:00,2025-03-15 00:00:00,CNY,362012554000.0,-9.7038755237,362012554000.0,-9.7038755237,,,,,,,,,,,303303900000.0,-13.4926655302,273518959000.0,-15.5759118566,,,,,18606756000.0,1.365474642,,,,,,,,,,,,,2057466000.0,21.3480561578,3562797000.0,17.0915791798,9689839000.0,14.5124148174,,,-4131918000.0,16.1491057587,3879076000.0,12.5506453474,9502997000.0,14.1939810632,,,,,,,664223000.0,1335.537065053,3987823000.0,25.0414445499,3743040000.0,-0.0726687921,,,,,19319000.0,13.7482336317,-8423325000.0,-43.8918695091,-872526000.0,-243.4587330392,9967630000.0,59.0396190566,,,1000,,64051799000.0,19.2364550168,135422000.0,-73.1132178488,,,1005182000.0,226.4383419285,,,,,0,,63182039000.0,17.1902973052,9175245000.0,28.2709440587,,,,,,,54006794000.0,15.4952946507,,,54006794000.0,15.4952946507,,,50744682000.0,15.011891776,3262113000.0,23.5749034202,44992920000.0,12.2250969116,,,,,11.58,15.1093439364,11.58,15.223880597,-1687613000.0,64.1837117792,-1804283000.0,60.3728105239,116670000.0,173.509120121,,,,,-2527245000.0,-126.3007224445,,,-2620701000.0,-135.0242180585,,,93456000.0,5639.7747480735,,,,,722962000.0,121.0384765364,-235668000.0,-144.7507139819,,,,,-441101000.0,85.4359530069,,,,,157579000.0,174.0715148609,1242151000.0,272.1463148952,,,,,,,,,52319181000.0,24.4237990401,48940398000.0,23.6864874799,3378782000.0,36.1823986496,,,,,,,,,-396983000.0,37.6523616946,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-16 00:00:00,2025-03-15 00:00:00,CNY,400917045000.0,22.0098541821,400917045000.0,22.0098541821,,,,,,,,,,,350610618000.0,19.3585809644,323982130000.0,23.6338916853,,,,,18356108000.0,18.3466879289,,,,,,,,,,,,,1695508000.0,86.8360286043,3042744000.0,-72.58641304,8461824000.0,21.252684645,,,-4927697000.0,-75.9900710925,3446516000.0,61.6280135289,8321802000.0,108.7042842226,,,,,,,46270000.0,-88.4394738874,3189201000.0,26.8304650404,3745762000.0,43.2678387633,,,,,16984000.0,419.0861780675,-5853927000.0,-107.0774317239,-254041000.0,77.8371676842,6267388000.0,106.3443044069,,,0,-100.0,53718302000.0,45.8864989811,503675000.0,215.9286895302,,,307924000.0,-0.2040488265,,,,,0,100.0,53914053000.0,47.0135096813,7153019000.0,122.439616574,,,,,,,46761034000.0,39.7639759653,,,46761034000.0,39.7639759653,,,44121248000.0,43.5810252368,2639786000.0,-3.2329451377,40091674000.0,42.103054404,,,,,10.06,40.1778000725,10.05,40.4553268207,-4711859000.0,-193.3686554303,-4553144000.0,-196.4040459031,-158715000.0,-149.057228952,,,,,-1116764000.0,-133.4292729716,,,-1115077000.0,-132.7586636422,,,-1687000.0,97.3322959807,,,,,-3436380000.0,-348.5981188065,526624000.0,7380.3482905072,,,,,-3028698000.0,-1277.9514047567,,,,,-212739000.0,,-721567000.0,-162.9654395902,,,,,,,,,42049175000.0,9.2082715059,39568104000.0,11.6099055855,2481071000.0,-18.6936737951,,,,,,,,,-636725000.0,-20.0468931851,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-10 00:00:00,2024-03-16 00:00:00,CNY,328593987500.0,152.0747036762,328593987500.0,152.0747036762,,,,,,,,,,,293745632000.0,163.7629329199,262049609200.0,172.7021109474,,,,,15510453500.0,101.6589677058,,,,,,,,,,,,,907484500.0,86.5201870701,11099401200.0,154.1147681751,6978669400.0,107.1475124899,,,-2799985800.0,-336.6790081098,2132375400.0,83.6512501417,3987365200.0,71.6278749448,,,,,,,400241300.0,,2514538600.0,103.9864232874,2614517000.0,354.0377665968,,,,,-5322700.0,77.0477311635,-2826926600.0,-38.9537001328,-1146247900.0,-8517.3685872376,3037344800.0,81.501530278,,,100,,36821983100.0,85.747004151,159426800.0,-12.9004254268,,,308553600.0,157.9021362456,,,,,-100,,36672856200.0,84.4049787961,3215712700.0,58.6909932348,,,,,,,33457143500.0,87.3223732327,,,33457143500.0,87.3223732327,,,30729163500.0,92.8852571575,2727980100.0,41.3891732731,28213098000.0,109.8819625057,,,,,7.1766,4.3717277487,7.1553,4.6218856007,5046510500.0,67.4363613754,4722980200.0,53.2774792574,323530300.0,580.4451163281,,,,,3340676900.0,-17.0231716016,,,3403914800.0,-11.9204477865,,,-63237900.0,-139.1700553441,,,,,1382303300.0,246.3205389173,7040100.0,28.9466454201,,,,,257115700.0,133.3479462175,,,,,,,1145973100.0,797.9299739336,-27825600.0,,,,,,,,38503654000.0,84.4511389649,35452143600.0,86.4661342985,3051510400.0,63.8770905066,,,,,,,,,-530396900.0,-61.5429574595,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-22 00:00:00,2023-03-10 00:00:00,CNY,130355796400.0,159.0562868548,130355796400.0,159.0562868548,,,,,,,,,,,111367290600.0,156.1001043937,96093722300.0,164.3630257735,,,,,7691427600.0,115.4837130293,,,,,,,,,,,,,486534200.0,64.8542557023,4367869400.0,97.0429323283,3368937100.0,90.5383257833,,,-641200000.0,10.0249999158,1161100400.0,81.2989091933,2323262000.0,55.4436267606,,,,,,,,,1232699000.0,1147.7804240764,575836900.0,14398.3363543813,,,,,-23190300.0,-134.4728221306,-2034437800.0,-145.8566599161,-13301600.0,96.1104442479,1673454100.0,47.3188294034,,,0,,19823729200.0,184.8445840051,183039700.0,94.0663562985,,,119639800.0,67.905611178,,,,,0,100.0,19887129100.0,184.8117008314,2026399000.0,130.6302477683,,,,,,,17860730100.0,192.6109067551,,,17860730100.0,192.6109067551,,,15931317900.0,185.3367627509,1929412300.0,270.6279331506,13442364300.0,215.2011149967,,,,,6.876,175.6795766178,6.8392,175.2414681262,3013987200.0,495.8513623288,3081326900.0,508.7493947231,-67339700.0,-19441.4103308183,,,,,4026035900.0,2545.9365585518,,,3864591400.0,2439.8341999695,,,161444500.0,,,,,,-944709000.0,-366.8563201296,5459700.0,,,,,,-771009100.0,-363.8256526528,,,,,-14963500.0,,-164196000.0,-365.8088913783,,,,,,,,,20874717400.0,215.8172019539,19012644700.0,212.219512828,1862072600.0,257.9293345869,,,,,,,,,-328331800.0,-259.0048121448,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-28 00:00:00,2022-04-22 00:00:00,CNY,50319487700.0,9.8966214176,50319487700.0,9.8966214176,,,,,,,,,,,43485843500.0,11.6318208717,36349153600.0,11.9029079621,,,,,3569377700.0,19.2930962638,,,,,,,,,,,,,295129900.0,8.4127222382,2216709500.0,2.7894488744,1768115200.0,-3.5226522742,,,-712642400.0,8.8251048905,640434300.0,121.4086129717,1494601000.0,38.6126912916,,,,,,,286915900.0,949.759574657,-117648600.0,-47.7906473278,-4027300.0,66.1559166206,,,,,-9890400.0,-815.552810632,-827489400.0,42.3082636156,-341982500.0,-45.106816022,1135940400.0,75.7410785312,,,0,,6959489600.0,20.8497907129,94318100.0,51.0827350476,,,71254200.0,17.8596822238,,,,,-100,,6982553400.0,21.2087965429,878635400.0,17.4503893026,,,,,,,6103918100.0,21.769702645,,,6103918100.0,21.769702645,,,5583338700.0,22.433383766,520579300.0,15.079109548,4264694400.0,8.9260281036,,,,,2.4942,19.1288150165,2.4848,18.9639488677,505828700.0,-47.1807002578,506173300.0,-47.1447166715,-344600.0,,,,,,152159200.0,1171.1467390806,,,152159200.0,1171.1467390806,,,,,,,,,354014100.0,-62.5654690363,,,,,,,292241900.0,-67.980011739,,,,,,,61772200.0,87.1727267199,,,,,,,,,6609746800.0,10.7098561498,6089512000.0,10.3579051566,520234700.0,15.0029323717,,,,,,,,,-91456100.0,8.8694374249,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-04-25 00:00:00,2021-04-28 00:00:00,CNY,45788020642.41,54.6304082955,45788020642.41,54.6304082955,,,,,,,,,,,38954702306.61,57.3656301472,32482760512.62,63.2112186856,,,,,2992107516.52,50.2816141726,,,,,,,,,,,,,272228105.62,59.0266882656,2156553541.51,56.4002410636,1832673929.87,15.2147173298,,,-781621299.53,-179.4166822138,289254465.49,41.4894683252,1078256966.28,90.5662477994,,,,,,,27331582.1,108.6974695187,-79604902.02,-143.1702644721,-11899568.84,-179.0696272312,,,,,1382204.06,101.5099625241,-1434329163.69,-47.1239396981,-235676386.11,,646371587.96,27.294828268,,,0,,5758793258.1,38.1510366568,62428112.63,0.2003911274,,,60456806.48,132.8276263386,,,,,0,,5760764564.25,37.0040527152,748090666.38,59.5359184141,,,,,,,5012673897.87,34.1759311144,,,5012673897.87,34.1759311144,,,4560307432.71,34.6400953384,452366465.16,29.6694391124,3915220700.0,25.1543073862,,,,,2.0937,27.5712893005,2.0887,27.305418419,957658852.86,263.607498172,957658852.86,263.607498172,,,,,,,11970230.92,,,,11970230.92,,,,,,,,,,945688621.94,261.5624906753,,,,,,,912685843.66,898.6861654869,,,,,,,33002778.28,269.7525950761,,,,,,,,,5970332750.73,89.5008483411,5517966285.57,96.9509293281,452366465.16,29.6694391124,,,,,,,,,-100357220.91,,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2019-04-25 00:00:00,2020-04-25 00:00:00,CNY,29611265434.22,48.0795696935,29611265434.22,48.0795696935,,,,,,,,,,,24754263221.37,46.6897072864,19902284153.15,56.2165761056,,,,,1991000384.84,22.0050143449,,,,,,,,,,,,,171183911.7,78.5015450542,1378868425.55,73.2755943872,1590659572.27,20.0871353828,,,-279733226.14,-763.352016956,204435332.83,106.8661978479,565817388.3,457.3075823449,,,,,,,-314247518.1,,184397531.48,-86.2830615216,-4264014.31,91.4680096988,,,,,-91538964.57,-16.8907708791,-974912150.01,,,,507775215.03,14.2552836738,,,0,,4168476326.68,-13.732230018,62303262.42,233.9664927136,,,25966337.17,908.0826505696,,,,,0,,4204813251.93,-13.2688464056,468916764.21,-28.3049737379,,,,,,,3735896487.72,-10.924032174,,,3735896487.72,-10.924032174,,,3387035207.64,-12.6592412381,348861280.08,10.363617562,3128314783.38,31.680934604,,,,,1.6412,-18.2832105158,1.6407,,-585339219.51,-337.0436240269,-585339219.51,-337.0436240269,,,,,,,,,,,,,,,,,,,,,-585339219.51,-337.0436240269,,,-479991456.67,-301.6680795952,,,-114273400.88,-1476.4113016528,,,,,,,8925638.04,1339.0969946692,,,,,,,,,3150557268.21,-29.0573164583,2801695988.13,-32.0782529299,348861280.08,10.363617562,,,,,,,,,,,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2018-03-12 00:00:00,2019-04-25 00:00:00,CNY,19996860806.33,34.3966720476,19996860806.33,34.3966720476,,,,,,,,,,,16875255721.27,45.6679774976,12740187148.7,52.0889154638,,,,,1631900455.51,,,,,,,,,,,,,,95900521.0,-12.191300509,795766091.83,25.8743705063,1324587823.0,-38.4550671728,,,42169650.35,-47.5787693686,98824909.51,,101526949.61,,244744030.88,4.6545854079,,,,,,,1344305303.77,1666.9547054748,-49976783.37,-330.6291908954,,,,,-78311541.52,50.5000358429,,,,,444421648.35,,,,0,,4832020495.66,50.4308506114,18655542.93,-90.1280086862,,,2575814.31,192.2200336787,,,,,0,,4848100224.28,42.5822211328,654043646.62,35.7565531114,,,,,,,4194056577.66,43.7090054388,,,4194056577.66,43.7090054388,,,3877954869.7,35.9816867743,316101707.96,374.5172163443,2375677840.37,-14.7418134949,,,,,2.0084,7.19470538,0.0,,246933121.24,27705.8353230494,246933121.24,27705.8353230494,,,,,,,,,,,,,,,,,,,,,246933121.24,27705.8353230494,,,238010625.0,,,,8302271.33,,,,,,,,620224.91,-30.1597468006,,,,,,,,,4440989698.9,52.1238582855,4124887990.94,44.595445758,316101707.96,374.5172163443,,,,,,,,,,,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2016-12-31 00:00:00,年报,2016年报,058001001,2017-11-10 00:00:00,2018-05-29 00:00:00,CNY,14878985098.12,160.9027786107,14878985098.12,160.9027786107,,,,,,,,,,,11584739495.37,148.6979906763,8376801892.4,139.3917773118,,,,,,,,,,,0.0,,,,,,,,109215284.54,175.588607536,632190722.09,91.0401956288,2152228887.34,246.8118702619,,,80443838.96,-26.3243990804,,,,,233858870.04,298.792932576,,,0.0,,,,76080348.84,5127.3387822731,21669756.19,324.3590073868,,,,,-158205248.94,-26709.7286430315,,,,,,,,,0,,3212120702.65,207.2051862757,188974466.62,165.4494901654,,,881463.97,-94.7384015951,,,0.0,,0,,3400213705.3,209.1013044698,481776851.01,222.3642720733,,,,,,,2918436854.29,207.016090761,,,2918436854.29,207.016090761,,,2851821419.26,206.4344841996,66615435.03,234.1682453315,2786451293.13,216.6077453417,,,,,1.8736,141.5989684075,,,888062.23,79.4537455121,888062.23,79.4537455121,,,,,,,,,,,,,,,,,,,,,888062.23,79.4537455121,,,,,,,,,,,,,,,888062.23,79.4537455121,,,,,,,,,2919324916.52,206.9497167335,2852709481.49,206.366998282,66615435.03,234.1682453315,,,,,,,,,,,标准无保留意见
300750.SZ,300750,宁德时代,10554205,通用,2015-12-31 00:00:00,年报,2015年报,058001001,2017-11-10 00:00:00,2018-05-29 00:00:00,CNY,5702884874.34,557.9343108424,5702884874.34,557.9343108424,,,,,,,,,,,4658155646.48,437.5700401274,3499202013.73,443.5824119257,,,,,,,,,,,0.0,,,,,,,,39629825.6,384625.706741224,330920265.24,664.3519577346,620575323.94,307.4112282238,,,109186539.31,344.3233900939,,,,,58641678.66,2163.2047816042,,,0.0,,,,1455431.76,-90.969910854,-9658518.48,-174.1588058022,,,,,-590103.88,,,,,,,,,,0,,1045594555.74,6282.0964585425,71190367.14,54.037843634,,,16752779.33,9793.5344873915,,,0.0,,0,,1100032143.55,1662.0229393857,149451069.1,2076.5951461745,,,,,,,950581074.45,1610.7923114107,,,950581074.45,,,,930646375.1,1609.9375814073,19934699.35,1651.6690028317,880095744.38,6619.4928736872,,,,,0.7755,,,,494869.71,169.0117493955,494869.71,169.0117493955,,,,,,,,,,,,,,,,,,,,,494869.71,169.0117493955,,,,,,,,,,,,,,,494869.71,169.0117493955,,,,,,,,,951075944.16,1606.0346728444,931141244.81,1605.0836751674,19934699.35,1651.6690028317,,,,,,,,,,,标准无保留意见
