,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2008-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00,1999-12-31 00:00:00,1998-12-31 00:00:00
SECUCODE,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH
SECURITY_CODE,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519
SECURITY_NAME_ABBR,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台
ORG_CODE,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602
ORG_TYPE,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用
REPORT_TYPE,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
REPORT_DATE_NAME,2023年报,2022年报,2021年报,2020年报,2019年报,2018年报,2017年报,2016年报,2015年报,2014年报,2013年报,2012年报,2011年报,2010年报,2009年报,2008年报,2007年报,2006年报,2005年报,2004年报,2003年报,2002年报,2001年报,2000年报,1999年报,1998年报
SECURITY_TYPE_CODE,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001
NOTICE_DATE,2024-04-03 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-04-22 00:00:00,2019-03-29 00:00:00,2018-03-28 00:00:00,2017-07-28 00:00:00,2016-03-24 00:00:00,2015-04-21 00:00:00,2014-03-25 00:00:00,2013-03-29 00:00:00,2012-04-11 00:00:00,2011-03-21 00:00:00,2011-03-21 00:00:00,2010-04-02 00:00:00,2009-03-25 00:00:00,2007-04-03 00:00:00,2007-04-03 00:00:00,2006-04-05 00:00:00,2005-04-23 00:00:00,2004-03-26 00:00:00,2003-03-26 00:00:00,2002-04-17 00:00:00,2001-07-26 00:00:00,2001-07-26 00:00:00
UPDATE_DATE,2024-10-26 00:00:00,2024-04-03 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-04-22 00:00:00,2019-03-29 00:00:00,2018-03-28 00:00:00,2017-04-15 00:00:00,2016-03-24 00:00:00,2015-04-21 00:00:00,2014-03-25 00:00:00,2013-03-29 00:00:00,2012-04-11 00:00:00,2011-03-21 00:00:00,2010-04-02 00:00:00,2009-03-25 00:00:00,2008-03-13 00:00:00,2007-04-03 00:00:00,2006-04-05 00:00:00,2005-04-23 00:00:00,2004-03-26 00:00:00,2003-03-26 00:00:00,2002-04-17 00:00:00,2001-07-26 00:00:00,2001-07-26 00:00:00
CURRENCY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
ACCEPT_DEPOSIT_INTERBANK,12034492909.95,12874043355.42,21763575647.32,14241859949.77,11048756010.02,11473011885.36,10462613754.14,10778818332.13,5967622299.13,3956450709.19,2773189099.54,0.0,0.0,,,,,,,,,,,,,
ACCOUNTS_PAYABLE,3093091103.67,2408371053.69,2009832495.56,1342267668.12,1513676611.44,1178296416.59,992055910.47,1040608203.18,880976072.09,707534647.54,284748288.89,345280977.68,172343585.06,232013104.28,139121352.45,121289073.57,59681964.5,41247749.99,30329177.02,35782831.8,40004706.01,24208759.65,10084988.04,29849878.67,30919891.95,25626956.39
ACCOUNTS_RECE,60373410.41,20937144.0,,,,,,,230768.89,4306161.24,927222.79,17818147.27,2225396.48,1254599.91,21386314.28,34825094.84,46407153.34,68347002.7,43685990.33,31277360.66,27486075.27,42735776.91,46700450.37,47884805.68,,
ACCRUED_EXPENSE,,,,,,,,,,,,,,,,,,126932.01,1305119.69,,,,,,,
ADVANCE_RECEIVABLES,,,,,13740329698.82,13576516813.44,14429106902.38,17541082237.01,8261582073.04,1476233096.09,3045113586.1,5091386269.55,7026648776.8,4738570750.16,3516423880.2,2936266375.1,1125288196.26,2141468768.67,1543198286.97,1036893726.13,745368392.5,452516762.87,306147007.77,385340199.56,86012360.84,93845099.56
AGENT_TRADE_SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,
AGENT_UNDERWRITE_SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,
AMORTIZE_COST_FINASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
AMORTIZE_COST_FINLIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
AMORTIZE_COST_NCFINASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
AMORTIZE_COST_NCFINLIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
APPOINT_FVTPL_FINASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
APPOINT_FVTPL_FINLIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSET_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASSET_OTHER,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,
ASSIGN_CASH_DIVIDEND,,,,,,,,,,,,,,,,,,,,,,,,,,
AVAILABLE_SALE_FINASSET,,,,,,29000000.0,29000000.0,29000000.0,29000000.0,4000000.0,4000000.0,,,,,,,,,,,,,,,
BOND_PAYABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
BORROW_FUND,,,,,,,,,,,,,,,,,,,,,,,,,,
BUY_RESALE_FINASSET,3504849885.05,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL_RESERVE,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374449260.61,1846119450.61,1923937320.54,2014484980.54,2014320830.54,2039189510.54,88432681.62,88432681.62,
CIP,2137464700.45,2208329892.95,2321988541.82,2447444843.03,2518938271.72,1954322968.68,2016405005.77,2745579995.68,4895150716.51,3421774448.02,456328292.13,392672323.95,251446326.43,263458445.1,193956334.39,582860996.7,361516478.52,989033918.02,909890443.63,776047024.87,721652502.1,442903497.33,162048784.65,5776136.63,,
CONSUMPTIVE_BIOLOGICAL_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_LIAB,14125755802.29,15471920924.98,12718465288.02,13321549147.69,,,,,,,,,,,,,,,,,,,,,,
CONVERT_DIFF,,,,,,,,,,,,,,,,,,,,,,,,,,
CREDITOR_INVEST,5323002071.02,380685319.09,170468623.71,20143397.78,,,,,,,,,,,,,,,,,,,,,,
CURRENT_ASSET_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,254708.21,3267745.14,8996282.41,1807921.64,72372172.98,68959433.35
CURRENT_ASSET_OTHER,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651300.25,0.0,23350685.8,19421406.15,3757667.96,0.0
CURRENT_LIAB_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CURRENT_LIAB_OTHER,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305119.69,7450299.38,5224656.87,3548598.58,233559.23,8163.87,36647.61,0.0
DEFER_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFER_INCOME_1YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFER_TAX_ASSET,4645887425.1,3594952468.88,2237206443.84,1123225086.37,1099946947.57,1049294821.45,1401797361.77,1745539120.68,1155336074.14,821601105.71,825372524.65,643656913.32,502628950.53,278437938.97,225420802.14,176680977.54,52849560.43,170093497.96,,,,,,,,
DEFER_TAX_LIAB,78943062.19,162628090.99,,1457513.23,72692601.01,,,,,,,,,,,,,,,,,,,,,
DERIVE_FINASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
DERIVE_FINLIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVELOP_EXPENSE,218015555.49,190536632.6,,,,,,,,,,,,,,,,,,,,,,,,
DIV_HOLDSALE_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
DIV_HOLDSALE_LIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVIDEND_PAYABLE,,,,,446880000.0,,,,,,,,,318584196.29,137207662.62,,41806958.04,,37181810.0,17440859.68,1212795.36,55577521.6,165107825.7,5617043.56,,
DIVIDEND_RECE,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUITY_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
EQUITY_OTHER,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
EXPORT_REFUND_RECE,,,,,,,,,,,,,,,,,,,,,,,,,,
FEE_COMMISSION_PAYABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN_FUND,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCE_RECE,,,,,,,,,,,,,,,,,,,,,,,,,,
FIXED_ASSET,19909280655.97,19742622547.86,17472173182.85,16225082847.29,15144182726.19,15248556585.02,15244096632.02,14453177439.34,11415953189.72,10375757771.59,8523256960.11,6807333231.09,5426012349.61,4191851111.97,3168725156.29,2190171911.89,1826983364.36,1222898569.38,981382035.5,715522677.42,440813831.83,470098687.69,414239895.73,180320389.09,,213023445.35
FIXED_ASSET_DISPOSAL,,,,,,,,,682594.04,,,,,,,,,,,,6730.0,,,449993.46,,
FVTOCI_FINASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
FVTOCI_NCFINASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
FVTPL_FINASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
FVTPL_FINLIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL_RISK_RESERVE,1061529724.0,1061529724.0,1061529724.0,927577822.67,898349936.77,788302643.63,600859229.62,420758409.36,218361303.43,98594502.37,13296286.27,,,,,,,,,,,,,,,
GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLD_MATURITY_INVEST,,,,,,,,,,60000000.0,50000000.0,50000000.0,60000000.0,60000000.0,10000000.0,42000000.0,58000000.0,42769450.0,,,,,,,,
HOLDSALE_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLDSALE_LIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURANCE_CONTRACT_RESERVE,,,,,,,,,,,,,,,,,,,,,,,,,,
INTANGIBLE_ASSET,8572267313.84,7083177226.45,6208358330.24,4817170981.91,4728027345.7,3499175374.52,3458622239.38,3531740625.6,3582462431.04,3582623682.24,3563308110.51,862615899.2,808425512.33,452317235.72,465550825.17,445207595.72,249274093.4,256943698.66,57074911.58,37699499.84,256204.88,424999.92,594999.96,765000.0,935000.0,
INTEREST_PAYABLE,,,,,11081.87,42770451.84,23414593.67,34481635.33,27409447.4,15365197.91,27383888.89,,,,,,,,,,,,,,,
INTEREST_RECE,,,,,,343889944.47,241458615.89,140904856.88,85347051.47,80602922.33,188599147.23,264612813.22,225182760.05,42728425.34,1912600.0,2783550.0,3584400.0,,,,,,,,,
INTERNAL_PAYABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERNAL_RECE,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY,46435185061.53,38824374236.24,33394365084.83,28869087678.06,25284920806.33,23506950842.22,22057481376.46,20622251825.55,18013297022.7,14982364367.85,11836810239.03,9665727593.42,7187117552.86,5574126083.42,4192246440.36,3114567813.33,2304818947.92,1980903106.21,1860549625.24,1693741195.11,1215006621.05,1076612588.52,786368826.81,512332818.61,423401102.17,316665851.53
INVEST_REALESTATE,4138545.33,5335046.99,5242431.75,,,,,,,,,,,,,,,,,,,,,,,
LEASE_LIAB,266636234.04,334447942.79,296466199.74,,,,,,,,,,,,,,,,,,,,,,,
LEND_FUND,105553836462.58,116172711554.59,135067287778.03,118199586541.06,117377810563.27,,,390000000.0,,,,,,,,,,,,,,,,,,
LIAB_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIAB_EQUITY_BALANCE,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIAB_EQUITY_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,
LIAB_OTHER,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,
LOAN_ADVANCE,2130818189.27,4134744407.92,3425175000.0,2953036834.8,48750000.0,36075000.0,33150000.0,60833517.03,19500000.0,30810000.0,90527500.0,,,,,,,,,,,,,,,
LOAN_PBC,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_EQUITY_INVEST,,,,,,,,,,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,10243017.33,9815063.73,4000000.0,4000000.0,,,,
LONG_LOAN,,,,,,,,,,,,,,,,,,,,,,,,,,60360000.0
LONG_PAYABLE,,,,,,,15570000.0,,,,,,,,,,,,,,,,,,,
LONG_PREPAID_EXPENSE,160058930.14,146455346.9,139342455.82,147721526.43,158284338.19,168414678.77,177859674.54,188118776.51,198603537.81,5408286.83,8048744.96,10177029.43,13805361.44,18701578.16,21469624.81,10146520.77,12477325.46,68664033.57,60377239.58,50939036.0,33607508.12,22221522.31,16579763.94,11574814.36,8442496.95,7917934.45
LONG_RECE,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_STAFFSALARY_PAYABLE,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
MINORITY_EQUITY,7987897687.39,7458040024.4,7418137908.05,6397948013.72,5866030353.54,4569923590.48,4568104646.12,3004405071.47,2308191982.3,1881148395.03,1506875785.45,1304382273.57,412199640.26,150615633.82,185582551.4,258848779.48,134750014.51,104433023.91,70497512.35,47558937.0,31381618.39,22503488.42,6716039.01,1358890.07,,
MONETARYFUNDS,69070136376.12,58274318733.23,51810243607.11,36091090060.9,13251817237.85,112074791420.06,87868869913.34,66854962118.22,36800749895.06,27710717680.21,25185009331.68,22061999850.17,18254690162.04,12888393889.29,9743152155.24,8093721891.16,4722706300.02,4474221148.33,3891989433.53,2898327418.85,2340047386.85,1780307690.64,1956436570.1,460983583.46,198390615.12,124765368.74
NONCURRENT_ASSET_1YEAR,,2123601333.33,,,,,,,,,,,,,17000000.0,,,,,,,,,,,
NONCURRENT_ASSET_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,185600155.9,0.0
NONCURRENT_ASSET_OTHER,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
NONCURRENT_LIAB_1YEAR,57054879.48,109351155.28,104319886.87,,,,,,,,,,,,,,,,,,,,,,57360000.0,
NONCURRENT_LIAB_BALANCE,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0
NONCURRENT_LIAB_OTHER,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
NOTE_ACCOUNTS_PAYABLE,3093091103.67,2408371053.69,2009832495.56,1342267668.12,1513676611.44,1178296416.59,992055910.47,1040608203.18,880976072.09,707534647.54,284748288.89,345280977.68,172343585.06,232013104.28,139121352.45,121289073.57,59681964.5,41247749.99,30329177.02,35782831.8,40004706.01,24208759.65,10084988.04,29849878.67,30919891.95,25626956.39
NOTE_ACCOUNTS_RECE,74306850.41,126390356.0,,1532728979.67,1463000645.08,563739710.0,1221706039.0,817627172.0,8579166175.71,1852144779.07,297011227.79,221897265.07,254326792.56,206065701.11,402146597.48,205437703.84,147453377.34,254000841.17,203351190.41,146652270.58,74026438.87,79752540.01,58440450.37,50384805.68,13412198.0,
NOTE_PAYABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE_RECE,13933440.0,105453212.0,,1532728979.67,1463000645.08,563739710.0,1221706039.0,817627172.0,8578935406.82,1847838617.83,296084005.0,204079117.8,252101396.08,204811101.2,380760283.2,170612609.0,101046224.0,185653838.47,159665200.08,115374909.92,46540363.6,37016763.1,11740000.0,2500000.0,13412198.0,
OIL_GAS_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER_COMPRE_INCOME,-6061727.51,-10776907.33,-13017880.78,-5331367.75,-7198721.79,-7065725.7,-7401576.4,-11240841.56,-13034075.47,-619043.99,0.0,,,,,,,,,,,,,,,
OTHER_CREDITOR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER_CURRENT_ASSET,71403906.57,160843674.42,71527560.74,26736855.91,20904926.15,140084334.11,37539231.49,231474570.63,,,,,,,,,,,,,,,,,,
OTHER_CURRENT_LIAB,1822498012.3,1979272808.9,1535976293.22,1609801368.51,,,,,,,,,,,,,,,,,,,,,,
OTHER_EQUITY_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER_EQUITY_OTHER,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
OTHER_EQUITY_TOOL,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
OTHER_NONCURRENT_ASSET,109563497.23,,2059761333.33,,,,,,,,,,,,,,,,,,,,,,,
OTHER_NONCURRENT_FINASSET,4002439902.57,,,9830052.91,319770404.05,,,,,,,,,,,,,,,,,,,,,
OTHER_NONCURRENT_LIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER_PAYABLE,,,,,,,3039948303.8,1724638571.44,1423139205.93,1231886240.35,1604688158.14,1389984092.02,916123206.95,818880550.55,710831237.05,575906355.73,423495209.82,300028402.49,269348761.11,396044896.52,213109026.89,127453900.0,176692131.93,105580857.9,59024931.4,18613175.01
OTHER_RECE,,,,,,,31323463.35,77227565.37,48219018.75,80888920.58,119574188.82,137968684.11,47287488.89,59101891.63,96001483.15,82601388.17,86114253.52,56675997.4,51244124.02,29172976.86,119865787.9,45195662.66,33320706.81,9792294.12,,
PARENT_EQUITY_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,141570000.0,196625000.0,90750000.0,0.0,0.0,0.0,0.0,234091527.98
PARENT_EQUITY_OTHER,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,660660000.0,141570000.0,,,,,,,
PERPETUAL_BOND,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
PERPETUAL_BOND_PAYBALE,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
PREDICT_CURRENT_LIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICT_LIAB,,,,,,,,,,,,,,,,,,,,,,,,,,
PREFERRED_SHARES,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
PREFERRED_SHARES_PAYBALE,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
PREMIUM_RECE,,,,,,,,,,,,,,,,,,,,,,,,,,
