,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2008-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
SECUCODE,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH
SECURITY_CODE,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519
SECURITY_NAME_ABBR,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台
ORG_CODE,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602
ORG_TYPE,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用
REPORT_TYPE,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
REPORT_DATE_NAME,2023年报,2022年报,2021年报,2020年报,2019年报,2018年报,2017年报,2016年报,2015年报,2014年报,2013年报,2012年报,2011年报,2010年报,2009年报,2008年报,2007年报,2006年报,2005年报,2004年报,2003年报,2002年报,2001年报,2000年报
SECURITY_TYPE_CODE,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001
NOTICE_DATE,2024-04-03 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-04-22 00:00:00,2019-03-29 00:00:00,2018-03-28 00:00:00,2017-04-15 00:00:00,2016-03-24 00:00:00,2015-04-21 00:00:00,2014-03-25 00:00:00,2013-03-29 00:00:00,2012-04-11 00:00:00,2011-03-21 00:00:00,2011-03-21 00:00:00,2010-04-02 00:00:00,2009-03-25 00:00:00,2008-03-13 00:00:00,2006-04-05 00:00:00,2005-04-23 00:00:00,2004-03-26 00:00:00,2003-03-26 00:00:00,2002-04-17 00:00:00,2001-07-26 00:00:00
UPDATE_DATE,2024-04-03 00:00:00,2024-04-03 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-04-22 00:00:00,2019-03-29 00:00:00,2018-03-28 00:00:00,2017-04-15 00:00:00,2016-03-24 00:00:00,2015-04-21 00:00:00,2014-03-25 00:00:00,2013-03-29 00:00:00,2012-04-11 00:00:00,2011-03-21 00:00:00,2010-04-02 00:00:00,2009-03-25 00:00:00,2008-03-13 00:00:00,2006-04-05 00:00:00,2005-04-23 00:00:00,2004-03-26 00:00:00,2003-03-26 00:00:00,2002-04-17 00:00:00,2001-07-26 00:00:00
CURRENCY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
