,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2008-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00,1999-12-31 00:00:00,1998-12-31 00:00:00
SECUCODE,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH
SECURITY_CODE,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519,600519
SECURITY_NAME_ABBR,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台
ORG_CODE,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602,10002602
ORG_TYPE,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用
REPORT_TYPE,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
REPORT_DATE_NAME,2023年报,2022年报,2021年报,2020年报,2019年报,2018年报,2017年报,2016年报,2015年报,2014年报,2013年报,2012年报,2011年报,2010年报,2009年报,2008年报,2007年报,2006年报,2005年报,2004年报,2003年报,2002年报,2001年报,2000年报,1999年报,1998年报
SECURITY_TYPE_CODE,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001
NOTICE_DATE,2024-04-03 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-04-22 00:00:00,2019-03-29 00:00:00,2018-03-28 00:00:00,2017-04-15 00:00:00,2016-03-24 00:00:00,2015-04-21 00:00:00,2014-03-25 00:00:00,2013-03-29 00:00:00,2012-04-11 00:00:00,2011-03-21 00:00:00,2011-03-21 00:00:00,2010-04-02 00:00:00,2008-03-13 00:00:00,2007-04-30 00:00:00,2006-04-05 00:00:00,2006-04-05 00:00:00,2004-03-26 00:00:00,2004-03-26 00:00:00,2003-03-26 00:00:00,2002-04-17 00:00:00,2001-07-26 00:00:00,2001-07-26 00:00:00
UPDATE_DATE,2024-04-03 00:00:00,2024-04-03 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-04-22 00:00:00,2019-03-29 00:00:00,2018-03-28 00:00:00,2017-04-15 00:00:00,2016-03-24 00:00:00,2015-04-21 00:00:00,2014-03-25 00:00:00,2013-03-29 00:00:00,2012-04-11 00:00:00,2011-03-21 00:00:00,2010-04-02 00:00:00,2009-03-25 00:00:00,2008-03-13 00:00:00,2007-04-03 00:00:00,2006-04-05 00:00:00,2005-04-23 00:00:00,2004-03-26 00:00:00,2003-03-26 00:00:00,2002-04-17 00:00:00,2001-07-26 00:00:00,2001-07-26 00:00:00
CURRENCY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
TOTAL_OPERATE_INCOME,150560330316.45,127553959355.97,109464278563.89,97993240501.21,88854337488.76,77199384110.22,61062756866.16,40155084412.93,33446859045.58,32217213741.08,31070596222.23,26455335152.99,18402355207.3,11633283740.18,9669999065.39,8241685564.11,7237430747.12,4903375765.41,3930515237.61,3009793519.92,2401017934.93,1838129976.34,1618046660.31,1114000813.26,890858185.64,628184433.19
TOTAL_OPERATE_INCOME_YOY,18.0365792459,16.5256474801,11.705948292,10.2852638045,15.0972103118,26.4262998794,52.0673104263,20.0563686958,3.8167338566,3.6903621374,17.4454832742,43.7605939836,58.1871088018,20.3028424461,17.3303566385,13.8758469971,47.6009813112,24.7514757987,30.5908598579,25.3548953606,30.6228594188,13.6017904445,45.246452341,25.0480526774,41.8147503459,
OPERATE_INCOME,147693604994.14,124099843771.99,106190154843.76,94915380916.72,85429573467.25,73638872388.03,58217861314.17,38862189993.84,32659583725.28,31573928530.94,30921801316.6,26455335152.99,18402355207.3,11633283740.18,9669999065.39,8241685564.11,7237430747.12,4903375765.41,3930515237.61,3009793519.92,2401017934.93,1834898294.9,1618046660.31,1114000813.26,890858185.64,628184433.19
OPERATE_INCOME_YOY,19.0119185529,16.8656773828,11.878763819,11.1036577434,16.0115176901,26.4884534158,49.8059201589,18.9916880776,3.4384545885,2.1089560976,16.8830450939,43.7605939836,58.1871088018,20.3028424461,17.3303566385,13.8758469971,47.6009813112,24.7514757987,30.5908598579,25.3548953606,30.8529165678,13.4020631116,45.246452341,25.0480526774,41.8147503459,
INTEREST_INCOME,2866725322.31,3454115583.98,3274123720.13,3077859584.49,3424471568.68,3559634363.7,2844310646.33,1292722909.66,786545320.3,643085210.14,148673987.03,,,,,,,,,,,,,,,
INTEREST_INCOME_YOY,-17.0055184139,5.4974056949,6.3766435814,-10.121619562,-3.7970977131,25.1492824208,120.0247729096,64.3545357522,22.3081028607,332.547228326,,,,,,,,,,,,,,,,
EARNED_PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,
EARNED_PREMIUM_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
FEE_COMMISSION_INCOME,,,,,292452.83,877358.49,584905.66,171509.43,730000.0,200000.0,120918.6,,,,,,,,,,,,,,,
FEE_COMMISSION_INCOME_YOY,,,,,-66.6666666667,50.0,241.034111069,-76.5055575342,265.0,65.4005256429,,,,,,,,,,,,,,,,
OTHER_BUSINESS_INCOME,,,,,,,,,,,,,,,,,,,,,,3231681.44,,,,
OTHER_BUSINESS_INCOME_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI_OTHER_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL_OPERATE_COST,46960889468.54,39748309616.85,34776902467.47,31305130587.56,29812253033.37,25864740879.03,22122749332.71,15889459243.51,11291736359.61,10117335755.93,9282061270.23,7627698585.34,6069573782.22,4472846560.68,3595688001.93,2852622959.08,2713904695.32,2418028449.44,2011711744.99,1522003410.22,1426663549.62,1189922692.06,1009060743.06,667263204.64,537589581.33,410251605.47
TOTAL_OPERATE_COST_YOY,18.1456266222,14.2951407303,11.0901050874,5.0075972202,15.2621368712,16.9146767883,39.2290888801,40.7175897265,11.6078049796,8.9988038366,21.6888838275,25.6710744284,35.698233773,24.3947349792,26.0484842725,5.1113903889,12.2362599145,20.1975608813,32.1752455666,6.68271511,19.8954822141,17.9237920258,51.2237953544,24.1213051394,31.0389951342,
OPERATE_COST,11867273851.78,10093468616.63,8983377809.96,8154001476.28,7430013945.12,6522921833.77,5940436371.97,3410104085.97,2538337449.06,2338550532.33,2193920307.99,2044306468.76,1551233976.06,1052931591.61,950672855.27,799713319.24,871643568.33,786540172.92,687106816.68,535056248.95,477388129.86,340556444.79,287538468.11,196863443.99,129133236.27,76725369.98
OPERATE_COST_YOY,17.5737925437,12.3571648678,10.1714027903,9.7440938403,13.9062238436,9.8054322162,74.2010279513,34.3440009221,8.5431943406,6.5923189559,7.3185621391,31.7858234354,47.3252382605,10.7564590462,18.8767064895,-8.2522549014,10.81996805,14.4713098206,28.4176790811,12.079923124,40.1788564461,18.4385682474,46.059858693,52.4498647106,68.3057850404,
INTEREST_EXPENSE,113500129.93,105584206.24,173897197.98,111128537.31,145752825.87,136317779.84,135187797.06,122961049.54,74159619.28,59217289.1,35507483.16,,,,,,,,,,,,,,,
INTEREST_EXPENSE_YOY,7.4972611642,-39.2835494381,56.4829360571,-23.7554835409,6.9213612788,0.8358615234,9.9435939802,65.8059341914,25.2330533989,66.7741102155,,,,,,,,,,,,,,,,
FEE_COMMISSION_EXPENSE,68578.57,143141.51,115082.12,105888.96,73178.4,124387.35,75378.0,73593.72,62172.83,76550.76,90547.86,,,,,,,,,,,,,,,
FEE_COMMISSION_EXPENSE_YOY,-52.0903684752,24.3820586552,8.6818871391,44.6997474665,-41.168937195,65.018108732,2.4245003514,18.3695836268,-18.782217185,-15.4582339108,,,,,,,,,,,,,,,,
RESEARCH_EXPENSE,157371873.01,135185680.4,61923213.59,50398036.33,48688841.05,21953605.93,18747252.83,,,,,,,,,,,,,,,,,,,
RESEARCH_EXPENSE_YOY,16.4116440028,118.3117970832,22.8683061866,3.5104456034,121.7806095511,17.1030557334,,,,,,,,,,,,,,,,,,,,
SURRENDER_VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,
SURRENDER_VALUE_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
NET_COMPENSATE_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
NET_COMPENSATE_EXPENSE_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
NET_CONTRACT_RESERVE,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0
NET_CONTRACT_RESERVE_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
POLICY_BONUS_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
POLICY_BONUS_EXPENSE_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
REINSURE_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
REINSURE_EXPENSE_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER_BUSINESS_COST,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER_BUSINESS_COST_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATE_TAX_ADD,22234175898.6,18495818534.22,15304469070.03,13886517290.78,12733292400.79,11288926846.97,8404214470.69,6508926343.26,3449170637.4,2788994436.05,2790747889.49,2572644755.42,2477391798.01,1577013104.9,940508549.66,681761604.71,604078928.41,574890772.15,530245028.46,324855608.17,308189009.56,320110065.32,317884849.44,199224062.88,172867651.11,119074532.43
OPERATE_TAX_ADD_YOY,20.2119055043,20.852402325,10.2109963899,9.0567690876,12.7945337356,34.324592576,29.1182912124,88.7098965961,23.6707607881,-0.062830951,8.4777788931,3.8448887046,57.0939258724,67.6766368015,37.952701232,12.8596897933,5.0771655546,8.4198325856,63.2248343955,5.407914654,-3.724049023,0.7000069,59.5614730694,15.2465840779,45.1760066424,
SALE_EXPENSE,4648613585.82,3297724190.94,2737369434.78,2547745650.95,3278990982.26,2572076872.16,2986068544.99,1681052022.9,1484961519.21,1674733451.06,1858132722.71,1224553444.02,720327727.89,676531662.09,621284334.75,532024659.8,560385186.98,584906379.04,475939394.33,376522300.75,365256375.5,308176458.6,228319500.78,134826000.83,101900556.98,56426807.15
SALE_EXPENSE_YOY,40.9642928475,20.4705564781,7.442806693,-22.3009253538,27.4841750552,-13.8641048118,77.6309420715,13.2050899066,-11.331470792,-9.8700845967,51.7396183714,69.9994872621,6.4736165732,8.8924384939,16.7773567082,-5.0608987959,-4.192327685,22.8951387526,26.4040385873,3.0843883928,18.5218290713,34.9759690027,69.3438204608,32.3113482652,80.5889117722,
MANAGE_EXPENSE,9729389252.31,9012191073.63,8450274065.03,6789844289.39,6167982844.22,5325940762.24,4701795567.31,4187189840.42,3812852076.19,3378499544.59,2834740716.0,2204190581.13,1673872427.75,1346014202.04,1217158463.04,941174062.44,723155575.2,495951616.18,350685099.47,311563047.89,291880260.69,238541225.22,181060278.22,129669631.27,122410821.54,116104124.14
MANAGE_EXPENSE_YOY,7.9580889133,6.649689753,24.4546075708,10.0820877891,15.8102036724,13.2746136236,12.2900022808,9.8177888035,12.856373839,19.1819599416,28.6068791087,31.6821129608,24.3577092436,10.586603381,29.3234175923,30.148213568,45.8117186451,41.4236353154,12.5567046044,6.7434458067,22.3605103985,31.7468566629,39.6319835621,5.9298758383,5.4319322821,
ME_RESEARCH_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_RESEARCH_EXPENSE_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCE_EXPENSE,-1789503701.48,-1391805826.72,-934523406.02,-234610582.44,7458015.66,-3521209.23,-55722346.19,-33175188.52,-67266800.97,-123168793.84,-429074364.68,-420975922.49,-350751496.92,-176577024.91,-133636115.78,-102500765.33,-44743824.95,-25310578.8,-32264593.95,-25993795.54,-16050225.99,-17461501.87,-5742353.49,6680065.67,11277315.43,41920771.77
FINANCE_EXPENSE_YOY,-28.5742355094,-48.9321527695,-298.3296048715,-3245.7507349884,311.8026840456,93.6807951015,-67.9639172402,50.6811859021,45.3864904633,71.2943014128,-1.9237304932,-20.0211335338,-98.6393740062,-32.1327126873,-30.3757248541,-129.0836007975,-76.7791456037,21.5530843524,-24.1242122581,-61.9528320423,8.0822136063,-204.0826709886,-185.9625305151,-40.7654622107,-73.0985023561,
FE_INTEREST_EXPENSE,12624628.35,12023204.77,13529867.76,,,,880974.99,,,,,,,,,,,,,,,,,,,
FE_INTEREST_EXPENSE_YOY,5.0021902771,-11.1358293867,,,,,,,,,,,,,,,,,,,,,,,,
FE_INTEREST_INCOME,1942301920.98,1475422303.64,944578412.02,278697733.32,20667205.74,14410823.72,60687396.93,,,,,,,,,,,,,,,,,,,
FE_INTEREST_INCOME_YOY,31.6437955552,56.1990285682,238.925760453,1248.5022446968,43.4144649991,-76.2540091535,,,,,,,,,,,,,,,,,,,,
ASSET_IMPAIRMENT_LOSS,,,,,,,-8053703.95,12327496.22,-540313.39,432745.88,-2004032.3,2979258.5,-2500650.57,-3066975.05,-300085.01,450078.22,-614738.65,1050087.95,,,,0.0,,,,
ASSET_IMPAIRMENT_LOSS_YOY,,,,,,,-165.3312222228,2381.5455711731,-224.8569691755,121.5937577453,-167.2661435723,219.1393366087,18.4652457476,-922.0354059005,-166.6739683604,173.2145636198,-158.5416345364,,,,,,,,,
CREDIT_IMPAIRMENT_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,
CREDIT_IMPAIRMENT_LOSS_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
TOC_OTHER,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,
TOC_OTHER_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRVALUE_CHANGE_INCOME,3151962.5,,-2244726.29,4897994.43,-14018472.46,,,,,,,,,,,,,,,,,,,,,
FAIRVALUE_CHANGE_INCOME_YOY,,,-145.829498626,134.939573081,,,,,,,,,,,,,,,,,,,,,,
INVEST_INCOME,34025967.82,63840000.0,58255937.39,305631.46,,,,,3869276.9,3095265.75,3010000.0,3103250.0,3383000.0,469050.0,1209447.26,1322250.0,1814950.0,1769450.0,427953.6,315063.71,,,,,,
INVEST_INCOME_YOY,-46.7011782268,9.5853965453,18960.8445184275,,,,,,25.0062906553,2.8327491694,-3.0049142029,-8.2692876145,621.245069822,-61.2178211061,-8.5311204386,-27.1467533541,2.5714204979,313.4677217343,35.8308133933,,,,,,,
INVEST_JOINT_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,
INVEST_JOINT_INCOME_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
NET_EXPOSURE_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,
NET_EXPOSURE_INCOME_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCHANGE_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCHANGE_INCOME_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSET_DISPOSAL_INCOME,-479736.97,213235.69,,,-32123.57,,,,,,,,,,,,,,,,,,,,,
ASSET_DISPOSAL_INCOME_YOY,-324.9796785895,,,,,,,,,,,,,,,,,,,,,,,,,
ASSET_IMPAIRMENT_INCOME,,,,,,-1289685.01,,,,,,,,,,,,,,,,,,,,
ASSET_IMPAIRMENT_INCOME_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
CREDIT_IMPAIRMENT_INCOME,37871293.26,-14686546.25,-13022441.19,-71371809.85,-5313489.8,,,,,,,,,,,,,,,,,,,,,
CREDIT_IMPAIRMENT_INCOME_YOY,357.8638477375,-12.7787488975,81.7540829953,-1243.2190996207,,,,,,,,,,,,,,,,,,,,,,
OTHER_INCOME,34644873.86,24505353.83,20515911.19,13138152.69,18768906.58,9634135.0,,,,,,,,,,,,,,,,,,,,
OTHER_INCOME_YOY,41.3767542405,19.445602991,56.1552196422,-30.0004364452,94.8167280197,,,,,,,,,,,,,,,,,,,,,
OPERATE_PROFIT_OTHER,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
OPERATE_PROFIT_OTHER_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATE_PROFIT_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,48964.96,1882.42,1084018.93,0.0,1155748.66,-981258.35,379143.87,1032896.0
OPERATE_PROFIT_BALANCE_YOY,,,,,,,,,,,,,,,,,,,2501.1708332891,-99.826348051,,-100.0,217.7823006551,-358.8089713807,-63.2931224441,
OPERATE_PROFIT,103708655208.38,87879521782.39,74750880777.52,66635079882.38,59041489276.14,51342987681.18,38940007533.45,24265625169.42,22158991962.87,22102973250.9,21791544952.0,18830739817.65,12336164425.08,7160906229.5,6075520510.72,5390384855.03,4525341001.8,2487116765.97,1919280411.18,1488107055.83,975438404.24,648207284.28,610141665.91,445756350.27,353647748.18,218965723.72
OPERATE_PROFIT_YOY,18.0123117479,17.5631923909,12.179471998,12.8614482787,14.9942610328,31.8515093688,60.4739513677,9.5068999983,0.2534442373,1.429124459,15.7232544394,52.6466344706,72.2709951746,17.8649009063,12.7103291159,19.115550693,81.9512884846,29.5858985213,28.9746193771,52.5577678059,50.4824811285,6.2388164088,36.8778404481,26.0452957962,61.5082681307,
NONBUSINESS_INCOME,86779655.95,70852285.4,68989219.74,11051136.15,9454451.03,11619526.11,12201990.51,8553926.06,4823183.32,6562552.18,32763249.14,6756532.19,7181584.54,5307144.91,6247977.0,6282035.79,2917186.44,1149619.55,1762887.9,3601893.97,1392334.71,137822.0,72208.04,17635.96,1500.0,
NONBUSINESS_INCOME_YOY,22.4796849672,2.7005170765,524.2726431345,16.8881843582,-18.6330755618,-4.7735195296,42.6478370799,77.3502164956,-26.5044575996,-79.9697760379,384.9122037558,-5.9186429907,35.3191718294,-15.0581874741,-0.5421616676,115.3457079007,153.7523339787,-34.7877111188,-51.0566409038,158.6945469455,910.2412604664,90.8679421294,309.4364015341,1075.7306666667,,
NONCURRENT_DISPOSAL_INCOME,,,,,,,,,205859.28,1634897.91,,,,,,,,,,,,,,,,
NONCURRENT_DISPOSAL_INCOME_YOY,,,,,,,,,-87.4084321265,,,,,,,,,,,,,,,,,
NONBUSINESS_EXPENSE,132881174.52,248884319.61,291838102.5,449189027.42,268391929.45,527003759.82,212137381.36,316298138.37,162100184.85,227193365.75,391947775.17,137005880.68,8685535.82,3796643.04,1228603.08,11366252.66,6233172.31,200533.55,796935.44,1036434.99,137513.69,10611.88,3004334.7,960375.1,56614.31,
NONBUSINESS_EXPENSE_YOY,-46.6092621953,-14.7183601189,-35.0300019179,67.3630903658,-49.0721034814,148.4256930303,-32.9311950892,95.1250941896,-28.6510042602,-42.0347862285,186.0809866151,1477.4027477328,128.7688288968,209.0211234046,-89.1907815465,82.3510099627,3008.2940036717,-74.8369140165,-23.1080147149,653.6958611175,1195.8466360343,-99.6467810328,212.8292997184,1596.3469129978,,
NONCURRENT_DISPOSAL_LOSS,,,,,,,,,188439.42,86754481.23,8997287.17,165718.82,,,,,,,,,,,,,,
NONCURRENT_DISPOSAL_LOSS_YOY,,,,,,,,,-99.782789987,864.2293236929,5329.2488746903,,,,,,,,,,,,,,,
EFFECT_TP_OTHER,,,,,,,,0.0,,,,,0.0,,,,,,,,,117934.0,,,,
EFFECT_TP_OTHER_YOY,,,,,,,,,,,,,,,,,,,,,,,,,,
